18:41:10–18:41:13  I say "我终于把那个狗屎数据洗完了".
19:11:07–19:11:09  I observe the SHUA cable machine.
19:11:10–19:11:12  I grab a resistance band.
19:11:13–19:11:16  I look down at the floor.
19:11:17–19:11:22  I adjust the resistance band.
19:11:23–19:11:24  I pull the resistance band down.
19:11:25–19:11:28  I say '不知道，有可能。'
19:11:29–19:11:31  I look at the bench and barbell.
19:11:32–19:11:39  I examine the cable machine column.
19:11:40–19:11:43  I examine the cable machine column.
19:11:43–19:11:48  I watch my partner retrieve his phone.
19:11:48–19:11:52  I walk toward a SHUA strength machine.
19:11:52–19:11:56  I inspect the SHUA strength machine.
19:11:56–19:12:00  I sit on the strength machine.
19:12:00–19:12:04  I say '划船，再做个推胸一会儿。'
19:12:04–19:12:09  I watch my partner adjust the cable machine.
19:12:10–19:12:25  I stand beside a cable machine.
19:12:25–19:12:27  I sit down on a SHUA machine.
19:12:27–19:12:29  I say '嗯。'.
19:12:29–19:12:35  I place my feet on the footplate.
19:12:35–19:12:40  I clasp my hands on my lap.
19:12:40–19:12:43  I sit on the SHUA strength training machine.
19:12:44–19:12:45  I raise my right hand.
19:12:46–19:12:48  I place my right hand on the machine cushion.
19:12:49–19:12:51  I read the safety warning on the SHUA machine tower.
19:12:52–19:12:55  I look at the weight selector pin.
19:12:56–19:12:57  I clasp my hands in my lap.
19:12:58–19:13:00  I look at the machine footplate.
19:13:01–19:13:05  I inspect the weight stack selector pin.
19:13:06–19:13:07  I look at the gym stationary bikes.
19:13:08–19:13:10  I look at the cable rope attachment.
19:13:10–19:13:13  I pick up my smartphone.
19:13:14–19:13:25  I read the ChatGPT explanation on Curriculum Learning.
19:13:26–19:13:33  I say '我操！零九年就有课程学习了。啊。'.
19:13:34–19:13:36  I read the paper citations in ChatGPT.
19:13:37–19:13:39  I watch a man exercising on the cable row machine.
19:13:40–19:13:42  I say "Ben 09".
19:13:43–19:13:44  I adjust the weight pin on the cable machine.
19:13:45–19:13:46  I say "加个十，加个十".
19:13:47–19:13:49  I say "对，图灵奖的那个".
19:13:50–19:13:51  My workout partner says "不知道".
19:13:52–19:13:55  I read the ChatGPT response on curriculum learning.
19:13:56–19:14:00  I scroll through the ChatGPT chat.
19:14:01–19:14:09  I read the ChatGPT analysis on LLM curriculum learning benchmark gains and training step reductions.
19:14:10–19:14:16  I read the ChatGPT explanation on curriculum learning.
19:14:16–19:14:19  I scroll through the ChatGPT response.
19:14:19–19:14:29  I read the ChatGPT text on benchmark gains and training step reductions.
19:14:29–19:14:32  I look up at the gym mirror.
19:14:32–19:14:39  I read the ChatGPT text comparing training efficiency gains with benchmark scores.
19:14:40–19:14:46  I read the ChatGPT explanation about curriculum learning.
19:14:47–19:14:50  I say '再加个十，六十。'
19:14:51–19:14:53  I watch another gym member exercising.
19:14:54–19:15:02  I scroll through the ChatGPT explanation about Difficulty Measurer and Training Scheduler.
19:15:03–19:15:09  I read the ChatGPT explanation about changing the optimization landscape.
19:15:10–19:15:15  I read the ChatGPT explanation about optimization landscape.
19:15:15–19:15:20  I scroll to read LLM improvement metrics.
19:15:20–19:15:27  I say '哦，他说，能提大概，比如说一个点到五个点，然后他说主要是提升训练效率，能减少百分之二十到五十的训练步骤。'
19:15:27–19:15:33  I scroll down to read curriculum learning mechanisms.
19:15:33–19:15:36  I say '原理还没看完呢。'
19:15:36–19:15:40  I read the gradient noise explanation.
19:15:40–19:15:44  I read the ChatGPT explanation on reducing early gradient noise in LLMs.
19:15:44–19:15:47  I scroll to the LLM pretraining difficulty metrics section.
19:15:47–19:15:57  I read the evaluation of perplexity versus lexical diversity metrics.
19:15:57–19:16:02  I scroll to section 3 on multi-task LLM curriculum learning.
19:16:02–19:16:05  I scroll back to review continuation interpretation and gradient noise.
19:16:05–19:16:10  I scroll back to section 3 on multi-task LLM task interference.
19:16:10–19:16:20  I read the ChatGPT response about multi-task LLM curriculum learning and Skill-it!.
19:16:20–19:16:27  I read the ChatGPT section about catastrophic forgetting and task interference.
19:16:27–19:16:36  I read the explanation of interleaved curriculum training across subjects.
19:16:36–19:16:38  I say "什么？有有说用根据。".
19:16:38–19:16:39  I glance at my phone screen.
19:16:39–19:16:40  I look at the gym machine base.
19:16:40–19:16:46  I say '这个优化这个landscape，难的问题更更spiky，简单的问题更平滑一些。'
19:16:46–19:16:50  I say '这好像是Bengio说的，零九年。'
19:16:50–19:16:53  My gym companion says '哦，Bengio说的。'
19:16:53–19:16:55  I say '零九说的。'
19:16:55–19:16:57  My gym companion says '嗯。'
19:16:57–19:17:00  I say '对，零九年。'
19:17:00–19:17:05  I read the ChatGPT explanation on optimization landscape and Bengio's continuation interpretation.
19:17:05–19:17:10  I read ChatGPT Section 3 on multi-task LLM curriculum.
19:17:10–19:17:13  I read ChatGPT Section 3 on multi-task LLM curriculum.
19:17:14–19:17:17  I scroll down and read the Skill-it! results.
19:17:18–19:17:23  I read ChatGPT Section 4 on catastrophic forgetting.
19:17:24–19:17:29  I read the Instruction Tuning with Human Curriculum section.
19:17:30–19:17:35  I read the curriculum takeaway on task mixture.
19:17:36–19:17:39  I scroll to read Section 5 on Data-CUBE.
19:17:40–19:17:50  I read ChatGPT's explanation about LLM multi-task training curriculum strategies.
19:17:50–19:17:55  I say '感觉这个 GPT 解释的好乱呢， too complicated。'
19:17:55–19:18:00  I open the MACLab @ HKU group chat in WeChat.
19:18:00–19:18:07  I view the course enrollment timetable image in WeChat.
19:18:07–19:18:10  I scroll through the course enrollment announcement in WeChat.
19:18:10–19:18:18  I read the course registration notice in the MACLab @ University X chat.
19:18:19–19:18:21  I say '哦。' and hand my phone to my companion.
19:18:22–19:18:25  I watch my companion check my phone.
19:18:26–19:18:30  I look at the cable gym machine.
19:18:31–19:18:33  I touch the hanging blue resistance band.
19:18:34–19:18:38  I look across the gym at the barbell and cardio equipment.
19:18:39–19:18:40  I adjust my smart glasses.
19:18:40–19:18:43  I turn toward the cable trainer.
19:18:43–19:18:47  I reach for the pull-up bar.
19:18:47–19:18:50  I examine the exercise demonstration chart.
19:18:50–19:18:54  Someone says '不是，结构设计强度。'
19:18:55–19:19:02  I look down at the cable accessories.
19:19:03–19:19:06  I glance at a man on a bench.
19:19:06–19:19:10  I look at the weight stack column base.
19:19:10–19:19:14  I inspect the gym floor and bench area.
19:19:14–19:19:19  I reach for the blue resistance band.
19:19:19–19:19:24  I say '结构强度设计的不够。'
19:19:24–19:19:29  I inspect the pull-up bar frame.
19:19:29–19:19:33  The person on the bench says '哇！什么？'.
19:19:33–19:19:40  The person on the bench says '实力或难度层级。'.
19:19:40–19:19:44  I say "这这怎么有难度层级的呢？都是一个人的数据，只不过时间不一样。"
19:19:44–19:19:47  I say "对我都是一起训的。"
19:19:47–19:19:52  I say "你是说先训细的还是先训粗的？"
19:19:52–19:19:55  I say "一般细的比较简单一些。"
19:19:55–19:19:58  I say "先训完细的再训粗的。"
19:19:58–19:20:08  I say "感觉肯定是有提升，但我估计不会在这篇论文里。"
19:20:08–19:20:10  I hold a resistance band.
19:20:10–19:20:13  My companion says '是 curriculum learning。'.
19:20:10–19:20:15  I pull down the blue resistance band.
19:20:15–19:20:18  I say '感觉听起来越来越复杂了。'.
19:20:16–19:20:20  I look at the cable machine base.
19:20:21–19:20:25  I inspect the exercise guide.
19:20:26–19:20:30  My companion says '你做呗，可以试试。'.
19:20:26–19:20:33  I look at my companion.
19:20:34–19:20:38  My companion offers his smartphone.
19:20:38–19:20:39  I take the smartphone.
19:20:40–19:20:42  I place my phone.
19:20:42–19:20:45  The companion says '可是我现在已经十点钟做完。第二篇。'.
19:20:46–19:20:51  I say '哦。哦。copy都是一样，我之前做的跟现在做的差不多，都是在做多任务。'.
19:20:52–19:20:54  The companion says '之前做的啥？'.
19:20:54–19:20:57  I say '也是这种氛围感、是理解、感悟。'.
19:20:57–19:20:59  The companion says '之前做情绪的吗？'.
19:20:59–19:21:01  I say '也是情绪。'.
19:21:01–19:21:04  The companion says '那之前重心是啥？和现在的不一样是？'.
19:21:05–19:21:10  I say '核心就在于，就就生成式的大型模型，他们的。'.
19:21:10–19:21:14  I say '这个模型参数量比较大，并且会的任务比较少。' to my friend.
19:21:14–19:21:16  My friend says '啊，我没懂。'.
19:21:16–19:21:19  I say '就是他们的参数量太大。' to my friend.
19:21:19–19:21:20  My friend says '嗯。'.
19:21:20–19:21:24  I say '脑子太大，且能力也不太不太行，多样性不足。' to my friend.
19:21:24–19:21:26  My friend says '没懂。'.
19:21:26–19:21:30  I examine the cable machine while holding a resistance band.
19:21:30–19:21:40  I say '就是就是过去的那个模型的参数量比较大，参数量。参数量比较大。然后，就是它是关注于单一。' to my friend.
19:21:40–19:21:43  I say '你是说千万吗？'.
19:21:44–19:21:47  I say '哦，情感哦，之前的，'.
19:21:48–19:21:56  I say '哦，之前的四B八B都只有单任务。'.
19:21:57–19:22:00  I inspect the cable machine pulley.
19:22:01–19:22:06  I say '哦，然后你这个关注多任务。'.
19:22:07–19:22:10  I say '哦。'.
19:22:10–19:22:13  User A says '这样小，然后，然后这个性能差不多，能做的事情也更多。'
19:22:14–19:22:19  User A says '其实我感觉要是换成同一同一代的模型也不一定了，比如说你换成千三.点五八B，哦一样的。'
19:22:20–19:22:24  I inspect the cable machine pulley.
19:22:25–19:22:33  User A says '不要蹦，只是把屏幕变小。圆圆的背光一样。'
19:22:34–19:22:39  User A says '哦，梁老师那个是。'
19:22:40–19:22:45  I look at my companion.
19:22:45–19:22:47  I look at the upper cable machine.
19:22:47–19:22:50  I grasp the pull-up bar and resistance band.
19:22:51–19:22:54  I steady the blue resistance band.
19:22:54–19:22:58  I inspect the exercise chart.
19:22:59–19:23:03  I watch my companion grasp the row handle.
19:23:04–19:23:10  I monitor my companion preparing for cable rows.
19:23:10–19:23:14  Companion says '吧。是。这些特征都是由个编码器先提取出来的。'
19:23:14–19:23:21  I say '我知道现在的，我说现在的视觉视觉模型，它的编码器不会自动关注这些特征吗？'
19:23:21–19:23:25  Companion says '现在？现在的编码器都是在一些专用的。任务。肯定人脸吧。'
19:23:25–19:23:28  I say '对啊。'
19:23:28–19:23:40  I say '还是你专门做一个只关注人脸的编码器，一些特征做一些补充，然后在消融实验的时候做一。'
19:23:40–19:23:43  My friend says '一些对比，你就会发现它是有帮助的。相当于加了一个分支吧。'
19:23:44–19:23:48  I say '好吧。比较是特征工程一点。'
19:23:49–19:23:50  I say '特征工程是一个坏事。'
19:23:51–19:23:57  I say '特征工程感觉不是很 scale，感觉之后会被机器自己学到的特征而替代。'
19:23:58–19:23:59  My friend says 'scale。'
19:24:00–19:24:05  I say '对。'
19:24:06–19:24:09  I observe the cable machine base and my friend.
19:24:10–19:24:15  User X says '我只是在推特上刷的，别人是这么说的。别人说现在语言模型都不需要 encoder 了。'
19:24:15–19:24:18  I say '但是现在每一个语言模型都是有 encoder。' to User X.
19:24:18–19:24:22  User X says '有，现在 Gamma 四 B 四就没有 encoder 了。'
19:24:22–19:24:24  I say '效果好吗？' to User X.
19:24:24–19:24:26  User X says '还可以。'
19:24:26–19:24:28  I say '基码？Gamma？Gamma？' to User X.
19:24:28–19:24:32  User X says '就是谷歌那个。Encoder free。'
19:24:32–19:24:35  I stretch a resistance band.
19:24:35–19:24:40  User X says '然后现在 Kimi 也做的没有那个位置位置位置编码，没有 position encoding。'
19:24:40–19:24:44  I listen to my workout partner say '它没有位置编码，是因为因为它的那个可以自己学到位置。'.
19:24:44–19:24:50  I say '对啊对啊，encoder也是，也是也是让模型自己在注意力中学了。'.
19:24:50–19:24:54  I listen to my partner say '但是你的图像不能先做一个预处理，再进行embedding。'.
19:24:54–19:25:03  I say '对，进进，对是要进行embedding，但是embedding只是一个线性线性映射，你可以不用一个很多层的，只是从一个太迟变把它展开就行了。'.
19:25:04–19:25:06  I hear my partner ask '这样吗？'.
19:25:06–19:25:09  I say '你可以看看那个gamma的那个技术报告，我操。'.
19:25:10–19:25:17  I say '现在现在都这样，谷歌，对，干嘛？我忘了，我忘了，反正就是，就是那意思，对。'.
19:25:17–19:25:21  I reach for the resistance band on the pull-up bar.
19:25:21–19:25:25  I examine the SHUA machine and accessory rack.
19:25:25–19:25:28  I grab the pull-up bar overhead.
19:25:28–19:25:31  I look at the exercise instruction board.
19:25:31–19:25:33  I grip the pull-up handle.
19:25:33–19:25:39  I inspect the SHUA cable machine.
19:25:40–19:25:42  I turn to User A.
19:25:42–19:25:46  I say '我那个是 Cliver 加语音编码器、视觉编码器、通用视觉编码器、面部编码器，' to User A.
19:25:46–19:25:49  I grab a blue resistance band.
19:25:49–19:25:58  I say '我还加了个融合编码器，没啥用。' to User A.
19:25:58–19:26:07  I say '像最牛逼的技术里面就。' to User A.
19:26:07–19:26:10  I watch User A row.
19:26:10–19:26:16  I say '哈哈哈哈哈！对。' to my workout partner.
19:26:16–19:26:24  I say '对，但是我一个 I D A 也没有。' to my workout partner.
19:26:24–19:26:34  I say '我一个卡。' to my workout partner.
19:26:34–19:26:40  I observe the gym area.
19:26:40–19:26:43  I say '还没有。'
19:26:44–19:26:46  I say '有有有，但是都跟别人蹭卡用。'
19:26:46–19:26:52  I adjust a blue resistance band on the cable machine.
19:26:53–19:26:55  I examine the gym equipment instruction panel.
19:26:56–19:27:00  I look at the workout bench.
19:27:00–19:27:04  I pick up my iPhone.
19:27:05–19:27:10  I type research notes on my iPhone.
19:27:10–19:27:19  I type a query about Gemma model encoders.
19:27:19–19:27:20  I say '嗯。'
19:27:20–19:27:38  I edit text about the Gemma model encoder.
19:27:38–19:27:40  I look at the workout bench.
19:27:40–19:27:41  I place my smartphone on the workout bench.
19:27:42–19:27:44  I look at the gym equipment.
19:27:45–19:27:51  I walk to the barbell.
19:27:52–19:27:55  I turn toward my friend.
19:27:56–19:28:00  I say '做个卧推，做个二十的，你帮我一组。' to my friend.
19:28:01–19:28:04  I approach the workout bench.
19:28:05–19:28:09  I read the AI chat explanation about Gemma 4 and Kimi K3 architecture.
19:28:10–19:28:25  I read the AI chat response about Gemma multimodal architecture and Kimi positional encoding.
19:28:26–19:28:28  I look across the gym floor.
19:28:29–19:28:39  I read the AI explanation about Gemma 4 and positional embedding design.
19:28:40–19:28:48  I read the ChatGPT explanation on Gemma 4 12B architecture.
19:28:49–19:28:53  I examine the ChatGPT comparison table header.
19:28:54–19:29:03  I read the ChatGPT comparison table rows for Gemma 4 and Kimi K3.
19:29:04–19:29:07  I say '嗯。'
19:29:08–19:29:09  I read the Kimi K3 NoPE details in the ChatGPT table.
19:29:10–19:29:19  I read the ChatGPT comparison table about Gemma 4 and Kimi K3 architecture.
19:29:20–19:29:27  I read the ChatGPT explanation about Gemma 4 12B removing the independent multimodal encoder.
19:29:28–19:29:32  I read about image and audio encoder removal in Gemma 4 12B.
19:29:33–19:29:37  I inspect the architectural diagrams of multimodal projection in Gemma 4 12B.
19:29:38–19:29:39  I scroll up to review the Gemma 4 architecture explanation.
19:29:40–19:29:43  I read a ChatGPT comparison table on Gemma 4 multimodal encoders.
19:29:44–19:29:48  I read ChatGPT's explanation comparing traditional multimodal encoders with Gemma 4 12B.
19:29:49–19:29:56  I read about replacing the 550M ViT encoder with a 35M projection matrix.
19:29:57–19:30:04  I read about directly embedding RGB patches and deleting the 305M audio encoder.
19:30:05–19:30:06  I read the audio chunking explanation of 40ms 640-dimension chunks.
19:30:07–19:30:10  I adjust my smart glasses.
19:30:10–19:30:15  I read ChatGPT's explanation about discarding USM encoders.
19:30:15–19:30:21  I read ChatGPT's breakdown of engineering overheads.
19:30:21–19:30:27  I read ChatGPT's comparison between ViT and Gemma architectures.
19:30:27–19:30:33  I read ChatGPT's explanation of unified representation space.
19:30:33–19:30:35  I say '嗯。'
19:30:35–19:30:39  I read the concluding sentence on Gemma's research value.
19:30:40–19:30:46  I say '我刚才说的不不全面，只有只有十二B模型取消了。'
19:30:46–19:30:57  I say '原来是有 image 和 audio 有有两个编码器，然后十二B的直接从一个 linear projection 给到 MM，只有十二B的取消了。'
19:30:57–19:31:02  I say '那性能呢？性能？'
19:31:02–19:31:10  I say '我得问一下，我得看一下它对同同样大小，还有 Kimi 的那个，呃。'
19:31:10–19:31:15  I say '他取消了隐显示的位置隐口定，但是他说对位置编码，他说他有一个隐式的位置编码，我不知道是什么玩意儿。'
19:31:15–19:31:19  I say 'KDA recurrence不知道是啥玩意儿。'
19:31:19–19:31:23  I say 'recurrence。Kimi Delta Attention re recurrence隐式编码是不知道是啥玩意儿，我也不知道。'
19:31:23–19:31:28  I say '回就是回复的回归，对我也不知道啥意思。'
19:31:28–19:31:36  I say '好像是说他们这边想让。'
19:31:36–19:31:40  I touch the gym equipment handle.
19:31:40–19:31:42  I say "是，嗯，有道理啊。"
19:31:42–19:31:45  I glance at the workout bench.
19:31:46–19:31:49  I read the ChatGPT comparison of Gemma 4 and Kimi K3.
19:31:50–19:31:52  I read the ChatGPT explanation of memory fragmentation.
19:31:53–19:31:54  I tap the ChatGPT input box.
19:31:54–19:32:00  I type 'gemma取消encoder' in ChatGPT.
19:32:01–19:32:09  I type '和同大小模型比怎么样' in ChatGPT.
19:32:10–19:32:11  I type 'gemma取消encoder和同大小模型比怎么样性能' in ChatGPT.
19:32:11–19:32:13  I say '好好，等我再举。'.
19:32:13–19:32:15  I read the ChatGPT explanation about KDA and DeltaNet.
19:32:16–19:32:19  My friend says '我操，二十可能有点重了，你需要帮一下。'.
19:32:20–19:32:22  I say '二十？'.
19:32:22–19:32:24  My friend says '啊？啊？拿不起来。'.
19:32:25–19:32:27  I say '拿拿，拿拿，拿！'.
19:32:28–19:32:32  My friend says '这六十肯定能拿起来吧？'.
19:32:33–19:32:36  My friend says '你先把它插插进去。'.
19:32:37–19:32:39  I grip the barbell.
19:32:40–19:32:44  I say '哎呦我操！我操帮，帮我借点力啊！'
19:32:45–19:32:48  Workout partner says '可以，可以往下劈，下往下去。来吧。'
19:32:49–19:32:55  I say '我操！别送，别送，别送。'
19:32:56–19:33:04  I say 'OK，慢点送，慢点送，慢点送，慢点送。OK。'
19:33:05–19:33:09  I exclaim 'OK。操！'
19:33:10–19:33:14  I say "最后一个，推不起来，算。".
19:33:14–19:33:18  I sit up from the bench.
19:33:18–19:33:22  I say "妈的，怎么六十这么沉呢？".
19:33:22–19:33:26  I remove the collar clamp from the barbell.
19:33:27–19:33:31  I remove the 5kg weight plate from the barbell.
19:33:32–19:33:35  I lock the collar clamp onto the barbell.
19:33:35–19:33:40  I say "有啊，那个门口就有。".
19:33:40–19:33:42  I watch a companion load weight plates onto a barbell.
19:33:43–19:33:44  I adjust my smart glasses.
19:33:45–19:33:51  I say '我现在去看多看你多重，然后你站上去拿这根杆子看多重。'
19:33:52–19:33:55  I say '操！算了。'
19:33:56–19:34:00  I look at an individual seated on a workout bench.
19:34:01–19:34:05  I walk toward the workout bench.
19:34:06–19:34:09  I say '你推吗？' to my companion.
19:34:10–19:34:13  I watch my partner approach the bench.
19:34:13–19:34:15  I grab the barbell.
19:34:15–19:34:18  I watch my partner lie on the bench.
19:34:18–19:34:20  I lift the barbell over my partner's chest.
19:34:20–19:34:22  I say '我操！我操！OK。'
19:34:22–19:34:26  I steady the barbell with my partner.
19:34:26–19:34:31  I spot my partner at lockout.
19:34:31–19:34:35  I spot my partner's first bench press rep.
19:34:35–19:34:39  I spot my partner's second bench press rep.
19:34:40–19:34:44  I spot a bench press.
19:34:44–19:34:49  Partner says '昨天练懵了。'
19:34:49–19:34:53  Partner says '昨天练了吗？我都忘了。'
19:34:53–19:34:57  I say '练背了，我操，这不是练背的吗？'
19:34:57–19:35:00  I examine the pull-up bar.
19:35:00–19:35:10  I scan the cardio area.
19:35:10–19:35:13  I say '晚上吃了个啊，面包。'
19:35:14–19:35:18  I say '那个阳光天地。啊，独苏世家。'
19:35:19–19:35:32  I grip the cable rope attachment.
19:35:33–19:35:38  I walk toward a stack of weight plates.
19:35:39–19:35:40  I pick up my smartphone.
19:35:40–19:35:47  I read the ChatGPT analysis on Gemma 4 12B encoder-free architecture.
19:35:48–19:35:57  I examine the Gemma 4 benchmark comparison table on ChatGPT.
19:35:58–19:36:05  I read the comparison between Gemma 4 12B and 26B-A4B on ChatGPT.
19:36:06–19:36:10  I read the benchmark comparison between Gemma 4 12B and Gemma 3 12B.
19:36:10–19:36:14  I read the ChatGPT comparison while my companion says '没法比，没法比，没有同样大小的，他没有做消融实验。'
19:36:14–19:36:18  I say '那那怎么比呢？就和同大小的吗？'
19:36:18–19:36:22  My companion says '没有啊。'
19:36:22–19:36:27  I say '就是就是就是你你就是比较这个没有encoder和有encoder的吗？对吧？'
19:36:27–19:36:34  My companion says '但是他没有做这。'
19:36:34–19:36:40  I monitor my companion.
19:36:40–19:36:45  I sit on a workout machine.
19:36:45–19:36:47  I say '这个有 encoder 的。不同的模型有啊。有啊有啊。有啊。'
19:36:47–19:36:50  I open the ChatGPT app.
19:36:50–19:36:54  I say '性能，就是它比小的好，比大的差。比大的差。'
19:36:54–19:37:00  I say '十二B的，十二B比二十六B的差差一点，比四B的好好一些。'
19:37:00–19:37:06  I say '有二十六B有 encoder 的。I don't know，感觉算是一个实验。'
19:37:06–19:37:10  I rest my arm on the roller.
19:37:10–19:37:12  I look at my friend on the fitness machine.
19:37:12–19:37:17  I read the ChatGPT comparison of Gemma 4 and Gemma 3 models.
19:37:17–19:37:28  I say '只能说比伽马三同样大小模型要好不少，但是，对对对，但是又又改了很多东西，又，就比如说模型各种什么训练的都肯定都变了吧，就。'
19:37:28–19:37:32  I place my phone into the machine's cup holder.
19:37:32–19:37:40  I watch my friend exercise on the machine.
19:37:40–19:37:43  My partner says "不能总是不能总是这个，对啊，不能总是只有模型架构变了，肯定其他也变了。".
19:37:43–19:37:45  I ask "那你有看过这什么这种线性注意力？".
19:37:45–19:37:47  My partner says "从来没干过，我操！".
19:37:48–19:37:53  I say "据说千问3.5一早就在用这个什么Delta Attention Net，复合注意力。".
19:37:53–19:37:56  I grab the cable rope attachment.
19:37:56–19:37:57  My partner says "对。".
19:37:58–19:38:02  I say "三个线性，一个Delta。".
19:38:03–19:38:07  My partner says "没了解过，好。".
19:38:08–19:38:10  I hold the cable rope attachment.
19:38:10–19:38:13  I grip the cable machine rope attachment.
19:38:13–19:38:16  I say "很早之前就有了这个，感觉我已经落袋了。"
19:38:17–19:38:20  I watch other gym members.
19:38:21–19:38:23  I watch a person performing dumbbell bench presses.
19:38:24–19:38:25  I say "从一出生。"
19:38:26–19:38:29  I pick up a barbell.
19:38:30–19:38:32  I scan the gym floor.
19:38:33–19:38:35  I sit on a workout machine seat.
19:38:36–19:38:39  I observe the cable machine and workout area.
19:38:40–19:38:48  The workout partner says '是这样的。哈哈哈哈哈！哈哈哈哈哈！'.
19:38:48–19:38:54  The workout partner says '那算是练到位了。'.
19:38:54–19:38:58  I raise my left hand.
19:38:58–19:39:03  I look at my workout partner.
19:39:03–19:39:07  The workout partner says '来。'.
19:39:07–19:39:10  I watch the workout partner grip the barbell.
19:39:10–19:39:12  I lie back on the bench.
19:39:12–19:39:13  I say '我操！OK，慢点走。OK。'
19:39:13–19:39:17  I lower the barbell.
19:39:17–19:39:21  I say '啊，操！怎么五十也这么沉？'
19:39:21–19:39:27  My partner says '这是不俩？六三吧，我帮你接力。'
19:39:27–19:39:28  I say 'OK。'
19:39:28–19:39:37  I complete the assisted press.
19:39:37–19:39:40  I sit up on the bench.
19:39:40–19:39:44  I examine the cable machine pulley column.
19:39:44–19:39:50  I say '哎，你看GPT那个通俗易懂的讲解一下KDA是什么东西？' to my workout partner.
19:39:51–19:39:56  I say '一般我让他通俗易懂，他要不就是举那种很幼稚的，但是跟原来。'
19:39:57–19:40:05  I watch my workout partner walk down the aisle.
19:40:06–19:40:08  I look at the machine accessory tray.
19:40:08–19:40:10  I pick up my phone from the machine holder.
19:40:10–19:40:12  The friend says '算法完全不相关的比喻，我来用最不绕弯子，对，稳稳的接住你，你直接问他吧。'
19:40:12–19:40:18  I read the ChatGPT explanation about Gemma 4 architecture.
19:40:19–19:40:21  The friend says '五点五，请你结合。'
19:40:21–19:40:23  I say '不不，还没还没开始呢。' to the friend.
19:40:24–19:40:27  I say '我操！不行，这网不好。'
19:40:28–19:40:34  The friend says '那我这个手机网可他妈烂了，动不动就一格。'
19:40:35–19:40:39  I say '很正常，iPhone是这样的。'
19:40:40–19:40:47  I view the ChatGPT conversation about Gemma architecture.
19:40:48–19:40:49  I start ChatGPT Advanced Voice Mode.
19:40:49–19:40:57  I say '请你讲解一下 KDA 的底层原理，不要太过于的复杂，但也不要太过于的简单。' to ChatGPT.
19:40:57–19:41:06  ChatGPT says '明白，我用一个中等偏直观的方式来讲，关于 K3 的 KDA。'
19:41:06–19:41:10  I hold the phone with both hands.
19:41:10–19:41:12  I display the ChatGPT screen to my friend.
19:41:12–19:41:14  My friend says '难。我把气跑赢了。气跑赢。'
19:41:14–19:41:17  I hand my phone.
19:41:17–19:41:21  I walk across the gym floor.
19:41:21–19:41:23  My friend says '性不性感，你就说。'
19:41:23–19:41:27  I watch my friend pose.
19:41:27–19:41:31  I look at the triceps rope attachment.
19:41:31–19:41:37  I stand behind my friend.
19:41:37–19:41:40  I grip the height adjustment pulley slider.
19:41:40–19:41:45  I hold the cable machine adjustment carriage.
19:41:45–19:41:54  I adjust the cable pulley carriage to the top position.
19:41:54–19:42:04  I inspect the cable machine column.
19:42:05–19:42:08  I lift my phone toward my ear.
19:42:09–19:42:10  I grip the triceps rope attachment.
19:42:10–19:42:17  I hold the cable rope attachment.
19:42:17–19:42:21  I inspect the cable pulley.
19:42:21–19:42:24  I release the rope attachment.
19:42:24–19:42:27  I look at the exercise guide poster.
19:42:27–19:42:30  I check the column height numbers.
19:42:30–19:42:33  I reach toward the resistance band.
19:42:33–19:42:36  I check the smartphone screen.
19:42:36–19:42:40  I say '声音好，声音越调越奇怪。'
19:42:40–19:42:44  I say '你能换个声音吗？连接不稳定啊。'
19:42:44–19:42:50  I hold my iPhone.
19:42:50–19:42:55  I tilt my iPhone horizontally.
19:42:55–19:43:00  I examine the SHUA cable machine.
19:43:00–19:43:10  I pull the blue resistance band.
19:43:10–19:43:14  I hold a blue resistance band.
19:43:15–19:43:28  I look at cable attachments on the floor.
19:43:29–19:43:39  I hold up my iPhone displaying ChatGPT voice mode.
19:43:40–19:43:46  I hold a blue resistance band.
19:43:40–19:43:46  I say '提前了十五比一比三比一的验证PPL包了大约之三，已经能看到价差取舍。'
19:43:47–19:43:53  I loop the blue resistance band over the top bar.
19:43:47–19:43:53  I say 'KDA的话，它的历史信息存储的是一个向量吗？还是非常多的token？'
19:43:54–19:44:01  I pull the blue resistance band through the loop.
19:43:54–19:44:01  I say '它是依据什么去决定哪些记忆要淡出，什么哪些记忆要被保留？'
19:44:02–19:44:06  I inspect the Decathlon 15KG resistance band.
19:44:02–19:44:06  I say '它的这个KDA的时间复杂度是O N吗？'
19:44:07–19:44:09  I glance at the companion holding a smartphone.
19:44:07–19:44:09  I say '我操他妈假。'
19:44:10–19:44:12  The companion says '看一下论文的训练。'
19:44:12–19:44:14  The ChatGPT voice assistant says '我看完了。'
19:44:14–19:44:24  The AI voice says '简单说，KDA存的不是一串token，也不是单一项量，而是一个会持续更新的紧凑记忆状态，更像一个小矩阵。'
19:44:24–19:44:40  The AI voice says '每来一个token，模型用学到的门控信号决定旧的内容淡出多少，新的信息写入多少。'
19:44:40–19:44:45  I perform a resistance band pull-apart.
19:44:45–19:44:50  I perform a second resistance band pull-apart.
19:44:50–19:44:55  I perform a third resistance band pull-apart.
19:44:55–19:45:00  I perform a fourth resistance band pull-apart.
19:45:00–19:45:05  I perform a fifth resistance band pull-apart.
19:45:05–19:45:10  I perform a sixth resistance band pull-apart.
