17:39:59–17:40:01  I observe the bedroom.
18:19:20–18:19:23  I pick up my smartphone.
18:19:24–18:19:28  I read messages from a Ziroom agent.
18:19:29–18:19:40  I read messages from Ziroom housekeeper Yang Huiyuan.
18:19:41–18:19:46  I tap the chat input field.
18:19:47–18:19:58  I type '稍微远一些的' in the chat.
18:19:59–18:20:06  I type '稍微远一些的有吗' to the property manager.
18:20:06–18:20:10  I read the property manager's messages about lease dates.
18:20:10–18:20:14  I say '妈的，没房子了，我操！'.
18:20:14–18:20:25  I type '骑车 15min 内的' into the chat.
18:20:25–18:20:29  I look at the woman by the window.
18:20:29–18:20:32  I look at my friend.
18:20:33–18:20:40  I say '今天太阳好好看啊，so beautiful。'.
18:20:41–18:20:44  I look at distant buildings.
18:20:45–18:20:53  I read chat messages on my iPhone.
18:20:54–18:20:54  I view the iPhone lock screen.
18:20:55–18:20:58  I type '也没有我看的就是差不多整个浦东这边'.
18:20:59–18:21:04  I send '好的谢谢🙏' to Ziroom housekeeper User X.
18:21:04–18:21:06  I say '我问自如，他跟我说没房。' to my friend.
18:21:06–18:21:09  I read the agent's lease duration explanation.
18:21:09–18:21:13  I say '嗯，不是，问的上海那个，上海就是我那个加了那个自如的那个，就是那个。'
18:21:13–18:21:16  I search for 'University X 上海自主智能无人系统科学中心'.
18:21:16–18:21:20  I look towards the window.
18:21:20–18:21:24  I check my phone screen and glance at the laptop.
18:21:24–18:21:29  I say '自如上海还有房。'
18:21:29–18:21:31  The companion says "自如全国都有啊。".
18:21:31–18:21:36  I say "他说没有这种从七月初出租到八月底的。".
18:21:36–18:21:41  The companion says "不要问他呀，你就去租房软件上看啊。".
18:21:41–18:21:50  I say "不是，我就去租房软件上，然后他有一个在线咨询问的，他他肯定搜的比我多呀。".
18:21:50–18:21:54  The companion asks "你是哪个软件？".
18:21:54–18:21:58  I say "自如。".
18:21:59–18:22:02  I check my phone while Friend says "没有七月初租到八月底。".
18:22:02–18:22:06  I say "那么多租房软件，我怎么从来没听过自如？".
18:22:06–18:22:11  I look at Friend while Friend says "自如还挺火的吧，我感觉。北京那儿有不少，反正。".
18:22:11–18:22:16  I say "你用啥自如？你用啥租房软件？贝壳还是啥？".
18:22:16–18:22:20  I say "你之前在那个那个呃那个那个大学的时候用的什么软件租的？".
18:22:20–18:22:24  I tap the search bar on my phone.
18:22:24–18:22:28  I look toward Friend by the doorway.
18:22:28–18:22:29  I look back toward my phone.
18:22:29–18:22:30  I view the empty search result screen.
18:22:31–18:22:33  I browse rental listings.
18:22:34–18:22:36  I open the location filter modal.
18:22:37–18:22:39  I tap the search bar.
18:22:40–18:22:42  I view the map overview.
18:22:43–18:22:46  I select '同济大学上海自主智能无人系统科学中心' from search history.
18:22:47–18:22:53  I inspect rental prices on the map as someone says '你直接，你去小红书上。'.
18:22:54–18:22:58  I pan across the map.
18:22:59–18:23:01  I browse rental listings around University X on a map.
18:23:02–18:23:02  My companion says '搜一下上海当地的租房的均价。'.
18:23:03–18:23:04  I say 'OK。'.
18:23:05–18:23:12  I scan the 22 rental listings on the map around University X.
18:23:13–18:23:16  I view the rental preview card for 浦东环东公寓 at 1800/RMB月.
18:23:17–18:23:18  I tap to open the apartment listing.
18:23:19–18:23:21  I inspect the ¥1800 apartment listing details.
18:23:22–18:23:26  I say '你这是阴间的这个房子，我操！'.
18:23:27–18:23:28  I scroll down to check the map and amenities of 浦东 环东公寓.
18:23:29–18:23:35  I review the Pudong Huandong Apartment rental listing.
18:23:35–18:23:40  I browse rental pins on the map.
18:23:40–18:23:43  I open the 1700 RMB listing.
18:23:43–18:23:48  I swipe through the apartment room photos.
18:23:48–18:23:51  I inspect the villa exterior photo.
18:23:51–18:23:54  I say '我操！这他妈住上平房了，我操！'
18:23:54–18:23:59  I read the villa rental description.
18:23:59–18:24:04  I browse a rental listing.
18:24:04–18:24:08  I say '哦，对，忘了。一会儿蒸个米饭吧，不对，还得用那个锅蒸。'
18:24:08–18:24:16  I view the rental photo.
18:24:17–18:24:23  I look at my roommate.
18:24:24–18:24:27  I say '啊，到了。可以。'
18:24:28–18:24:29  I look toward the window.
18:24:29–18:24:32  I browse a rental listing.
18:24:32–18:24:36  I say '可以啊，我去弄个米饭去。'
18:24:36–18:24:39  Roommate says '哦，好啊，那今天做。'
18:24:39–18:24:42  I say 'OK。'
18:24:42–18:24:46  I walk into the common area.
18:24:46–18:24:51  I reach into a delivery sack.
18:24:51–18:24:55  I pick up a Bear cardboard box.
18:24:55–18:24:58  I carry the parcel into bedroom B.
18:24:59–18:25:02  I inspect a patterned glass mug.
18:25:02–18:25:06  I place the glass mug on the stool.
18:25:06–18:25:09  The woman says '不要把那个放在上面，脏死了！就在外面穿就行了。后面有意见吗？哼'.
18:25:09–18:25:12  I walk out of bedroom B.
18:25:12–18:25:15  I walk across the living room.
18:25:15–18:25:19  I turn on the living room lights.
18:25:19–18:25:22  I walk to the dining table.
18:25:22–18:25:25  I pick up a pair of scissors.
18:25:25–18:25:28  I slice the packaging tape on the Bear box.
18:25:29–18:25:35  I cut the tape on the Bear shipping carton.
18:25:36–18:25:42  I fold open the carton flaps.
18:25:43–18:25:46  I remove the instruction card and spatula.
18:25:47–18:25:48  I remove the styrofoam packaging insert.
18:25:49–18:25:54  I lift the plastic-wrapped cooker out of the box.
18:25:55–18:25:58  I unwrap the plastic bag from the cooker.
18:25:59–18:26:06  I remove a styrofoam packaging block from the box.
18:26:07–18:26:11  I lift out the rice cooker and open its lid.
18:26:12–18:26:19  I remove a wrapped accessory from the rice cooker.
18:26:20–18:26:26  I remove the plastic packaging bag from inside the rice cooker.
18:26:27–18:26:28  I say '嗯，这里。'
18:26:29–18:26:43  I read the Bear rice cooker reminder card.
18:26:44–18:26:45  I say '哦。'
18:26:46–18:26:48  I unwrap the inner pot.
18:26:49–18:26:50  I place the inner pot into the rice cooker.
18:26:51–18:26:53  I walk toward the kitchen.
18:26:54–18:26:57  I place the rice cooker on the kitchen counter.
18:26:58–18:26:58  I take out the inner pot over the sink.
18:26:59–18:27:08  I wash a rice cooker inner pot.
18:27:08–18:27:14  I fill the rice cooker inner pot with water.
18:27:14–18:27:17  I put the inner pot into the rice cooker.
18:27:17–18:27:21  I operate the rice cooker.
18:27:21–18:27:24  I walk out of the kitchen.
18:27:24–18:27:28  I look at the cluttered table.
18:27:29–18:27:32  I unpack a white power cord.
18:27:32–18:27:35  I walk into the kitchen.
18:27:35–18:27:44  I untie the power cord.
18:27:44–18:27:47  I discard the packaging scrap.
18:27:47–18:27:50  I examine the power connection.
18:27:50–18:27:54  I lift the electric pot.
18:27:54–18:27:58  I position the electric pot.
18:27:59–18:28:02  I plug the power cord into the wall socket.
18:28:02–18:28:08  I untangle the power cord.
18:28:08–18:28:13  I connect the power cord to the rice cooker.
18:28:13–18:28:16  I place the rice cooker on the microwave.
18:28:16–18:28:23  I press the function button on the rice cooker.
18:28:23–18:28:29  I configure the rice cooker program.
18:28:29–18:28:31  I press the Bear cooker function button.
18:28:31–18:28:33  I say '什么玩意儿？'
18:28:33–18:28:35  I say '怎么用啊？'
18:28:35–18:28:42  I cycle through the cooker settings.
18:28:42–18:28:46  I turn towards the kitchen doorway.
18:28:47–18:28:51  I walk through the hallway.
18:28:52–18:28:54  I approach the desk.
18:28:54–18:28:56  I say '啊！别动！'
18:28:56–18:28:58  I read the thesis document on the laptop.
18:28:59–18:29:01  I read thesis revision notes.
18:29:01–18:29:02  I say '好，我一会儿丢。'
18:29:02–18:29:05  I walk toward the bed.
18:29:05–18:29:06  I touch the MacBook keyboard.
18:29:06–18:29:08  I pick up my smartphone.
18:29:08–18:29:13  I view an apartment rental listing on the Wellcee app.
18:29:14–18:29:18  I view the landlord profile and listing details on the rental app.
18:29:19–18:29:28  I browse rental listings on the map view in the rental app.
18:29:29–18:29:35  I browse rental listings on the map.
18:29:36–18:29:38  I open the rental type filter menu.
18:29:39–18:29:40  I dismiss the low battery alert.
18:29:41–18:29:41  I open the price filter menu.
18:29:42–18:29:51  I scroll through the location filter options.
18:29:52–18:29:58  I pan around the map to explore apartment listings.
18:29:59–18:30:03  I browse rental listings on a map.
18:30:03–18:30:06  I select the 浦东 瀚龙苑 listing card.
18:30:07–18:30:09  I wait for the listing page to load.
18:30:10–18:30:12  I read the 浦东 瀚龙苑 listing overview.
18:30:13–18:30:15  I scroll to read the apartment description and map.
18:30:16–18:30:26  I swipe through the apartment photo gallery.
18:30:27–18:30:28  I look at someone saying '他说：“有异味，要煮半个小时。”'.
18:30:29–18:30:31  I listen to my friend say '水去异味儿。'.
18:30:31–18:30:32  I say '哦。'.
18:30:32–18:30:38  I browse an apartment listing on my phone.
18:30:39–18:30:43  I inspect the apartment location map and facilities.
18:30:44–18:30:47  I watch my friend lie down on the bed.
18:30:48–18:30:56  I read the apartment rental description.
18:30:57–18:30:58  I view the apartment complex map and rental prices.
18:30:59–18:31:01  I view apartment rental listings.
18:31:01–18:31:03  I say '干嘛？'.
18:31:03–18:31:10  I watch my companion holding a plush toy.
18:31:10–18:31:15  I inspect the 浦东 瀚龙苑 apartment listing.
18:31:15–18:31:22  I tap the '私信' button on the 浦东 瀚龙苑 listing.
18:31:22–18:31:25  I tap '确定' on the profile completion modal.
18:31:25–18:31:29  I view the profile setup page.
18:31:29–18:31:31  I say '果然还是找中介找方便呀！'
18:31:31–18:31:34  I swipe through home screen pages.
18:31:34–18:31:36  I say '我操，这个平台竟然没有中介。'
18:31:36–18:31:38  I tap the Wellcee app icon.
18:31:38–18:31:40  I say 'We'll see。'
18:31:40–18:31:42  I say '哎呀！我讨厌你。' to my friend.
18:31:42–18:31:44  I say 'Damn！我讨厌你。'
18:31:44–18:31:47  I view an apartment map on Wellcee.
18:31:47–18:31:50  I browse rental listings on Wellcee.
18:31:50–18:31:54  I check the messages tab on Wellcee.
18:31:54–18:31:57  I say '我操，今天好好看啊！'
18:31:57–18:31:59  I look at my friend.
18:31:59–18:32:02  The woman says '我讨厌你。'
18:32:02–18:32:04  I say '喜欢你。'
18:32:04–18:32:08  The woman says '你骗人，你一点都不喜欢我。'
18:32:08–18:32:15  I watch the woman leave the bed.
18:32:16–18:32:18  I view the Wellcee messages screen.
18:32:18–18:32:19  I browse apartment listings.
18:32:19–18:32:22  I view the Wellcee homepage feed.
18:32:23–18:32:27  I open the profile tab in Wellcee.
18:32:28–18:32:29  I tap on browsing history in Wellcee.
18:32:29–18:32:34  I tap '立即认证' on Wellcee.
18:32:35–18:32:37  I tap '点击上传' to upload student ID.
18:32:38–18:32:40  I tap '开始上传' on the guidelines modal.
18:32:41–18:32:42  I view the photo access prompt.
18:32:43–18:32:44  I view the photo picker album.
18:32:45–18:32:47  I open Xiaohongshu.
18:32:48–18:32:49  I tap the search bar on Xiaohongshu.
18:32:50–18:32:52  I view the Xiaohongshu search screen.
18:32:53–18:32:56  I type '上海租房' into the search box.
18:32:57–18:32:58  I browse Shanghai rental posts on Xiaohongshu.
18:32:59–18:33:01  I open an intern rental post on Xiaohongshu.
18:33:02–18:33:09  I read the post about renting a 3000 RMB studio apartment.
18:33:10–18:33:11  I read comments on the rental post.
18:33:12–18:33:15  I tap the 3k Jing'an rental post in the feed.
18:33:16–18:33:24  I read the Jing'an youth community apartment post.
18:33:25–18:33:27  I find the Shanghai district rental map post.
18:33:28–18:33:29  I view the Shanghai district rental price comparison map.
18:33:29–18:33:33  I examine a Shanghai rental price map.
18:33:34–18:33:34  I read the Xiaohongshu post title '上海哪个区租金贵'.
18:33:35–18:33:37  I browse Xiaohongshu rental search results.
18:33:38–18:33:41  I reach toward the laptop running Spotify.
18:33:42–18:33:45  I look down at the bedroom floor.
18:33:46–18:33:50  I scroll through the Xiaohongshu rental search feed.
18:33:51–18:33:54  I tap the post titled '上海租房价格都快赶上美国了'.
18:33:55–18:33:58  I read the post '上海租房价格都快赶上美国了'.
18:33:59–18:34:01  I read a Xiaohongshu post about Shanghai rental prices.
18:34:01–18:34:02  Roommate says '我高兴。'.
18:34:02–18:34:03  I look toward my roommate.
18:34:03–18:34:05  I say '干嘛？咋了？' to my roommate.
18:34:05–18:34:08  Roommate laughs '哈哈哈哈哈哈！'.
18:34:08–18:34:29  I watch my roommate.
18:34:29–18:34:31  I say 'Oh shit! That's sad.'
18:34:31–18:34:37  I read comments on the Xiaohongshu post '上海租房价格都快赶上美国了'.
18:34:37–18:34:42  I scroll through Xiaohongshu search results for '上海租房'.
18:34:42–18:34:45  I select the suggestion '上海租房用什么app比较靠谱'.
18:34:46–18:34:48  I glance at the clothes rack.
18:34:49–18:34:52  I examine the comparison infographic '刚来上海租房用哪个'.
18:34:53–18:34:55  I open the note '刚来上海找房，别再漫无目的地刷APP了！'.
18:34:55–18:34:58  I read the rental platform comparison chart.
18:34:59–18:35:03  I browse Xiaohongshu rental platform guides.
18:35:04–18:35:11  I read the Xiaohongshu note on rental channels.
18:35:12–18:35:14  I raise and lower my left arm.
18:35:15–18:35:16  I tap User A's avatar.
18:35:17–18:35:18  I view User A's profile.
18:35:19–18:35:20  I navigate back to the rental guide note.
18:35:21–18:35:25  I read the second image of the rental guide note.
18:35:26–18:35:28  I read the first image of the rental guide note.
18:35:29–18:35:32  I read the Xiaohongshu note '上海租房避坑指南（渠道篇）'.
18:35:33–18:35:33  I select '一张图读懂租房平台要点！' from the search results.
18:35:34–18:35:42  I read the rental platform comparison infographic.
18:35:43–18:35:44  I read the rental expense traps chart.
18:35:45–18:35:48  I scroll through the Shanghai rental search results.
18:35:49–18:35:54  I read the comment on '上海租房除了用自如还有什么平台'.
18:35:55–18:35:57  I view the apartment map screenshots.
18:35:58–18:35:58  I close the image preview.
18:35:59–18:36:03  I browse comments on a Shanghai rental post.
18:36:04–18:36:08  I open the rental apps screenshot in full screen.
18:36:09–18:36:11  I inspect map apartment results and exit the viewer.
18:36:12–18:36:17  I search '上海短租' in Xiaohongshu.
18:36:18–18:36:21  I browse search results for Shanghai short-term rentals.
18:36:22–18:36:28  I read comments on the Shanghai internship short-term rental post.
18:36:29–18:36:31  I read Xiaohongshu comments about Shanghai short-term rentals.
18:36:32–18:36:34  I say '我知道啦。'.
18:36:35–18:36:37  Roommate says '你不能知道。'.
18:36:38–18:36:41  I say '啊，那我不知道。'.
18:36:42–18:36:49  I observe my roommate at the desk.
18:36:50–18:36:54  I glance at the bedsheet.
18:36:55–18:36:58  I browse Xiaohongshu search results for '上海短租'.
18:36:59–18:37:02  I browse Xiaohongshu search results for "上海短租".
18:37:03–18:37:06  I watch my roommate walk across the bedroom.
18:37:07–18:37:09  I look out the window at the distant buildings.
18:37:10–18:37:13  I hold my phone with both hands.
18:37:14–18:37:21  I scroll Xiaohongshu posts about Shanghai short-term rentals.
18:37:22–18:37:24  I tap the post "暑期 上海浦东 3个月实习 短租还是青旅".
18:37:25–18:37:26  I say "我操！短租还是？".
18:37:26–18:37:29  I read the Xiaohongshu post about Pudong internship housing.
18:37:29–18:37:31  I read Xiaohongshu comments about Shanghai internship housing.
18:37:31–18:37:32  I say '青旅，受不了了。'
18:37:32–18:37:34  I browse Xiaohongshu search results for '上海短租'.
18:37:35–18:37:38  I select '上海租房子去哪个平台'.
18:37:39–18:37:42  I open '重生之如何在上海快速租到房（个人实战版）'.
18:37:43–18:37:54  I read the Shanghai apartment renting guide note.
18:37:55–18:37:57  I raise my left hand.
18:37:57–18:37:58  I say '哦。悲歌。'
18:37:59–18:38:19  I read the Shanghai apartment renting guide checklist.
18:38:20–18:38:22  I swipe through the slides of '重生之如何在上海快速租到房（个人实战版）'.
18:38:23–18:38:24  I browse the Xiaohongshu search results for '上海租房子去哪个平台'.
18:38:25–18:38:28  I read the Xiaohongshu post '不要再踩坑了！上海租房一定看看这篇好吗！'.
18:38:29–18:38:36  I read the Shanghai rental guide note about Ziroom and WellCee.
18:38:36–18:38:43  I read the rental guide section about Xiaohongshu subletting and rental precautions.
18:38:44–18:38:46  I say 'Oh shit!'.
18:38:46–18:38:50  I swipe to the next slide of the Xiaohongshu rental post.
18:38:50–18:38:58  I read the Shanghai rent reference prices.
18:38:59–18:39:04  I read a Xiaohongshu post about Shanghai rental prices.
18:39:05–18:39:10  I read rental platform reviews in the Xiaohongshu post.
18:39:11–18:39:14  I browse Xiaohongshu search results for rental platforms.
18:39:15–18:39:24  I examine an infographic comparing rental apps on Xiaohongshu.
18:39:25–18:39:26  I exit Xiaohongshu to the home screen.
18:39:27–18:39:29  I type 'beike' into the Spotlight search bar.
18:39:29–18:39:32  I type 'beikezifang' and '贝壳zufan' into Spotlight.
18:39:32–18:39:33  I say '贝壳租房。'
18:39:33–18:39:35  I select the '贝壳租房' search result.
18:39:35–18:39:40  I view the '轻享租房' App Store page.
18:39:40–18:39:42  I inspect the side-button confirmation sheet.
18:39:42–18:39:46  I view the laptop video grid.
18:39:46–18:39:49  I lower the iPhone.
18:39:49–18:39:58  I inspect the '轻享租房' App Store page.
18:39:59–18:40:03  I view the Beike Renting App Store page.
18:40:04–18:40:07  I open Beike Renting and accept permissions.
18:40:08–18:40:15  I select city in Beike Renting.
18:40:16–18:40:23  I examine the Shanghai rental map.
18:40:24–18:40:26  I tap '开心收下' on the promotion modal.
18:40:27–18:40:28  I view the rental map options.
18:40:29–18:40:31  I tap the commute search bar in the rental app.
18:40:31–18:40:36  I exit the commute search view.
18:40:36–18:40:43  I switch to Ziroom in the app switcher.
18:40:43–18:40:47  I tap the message tab in Ziroom.
18:40:47–18:40:51  I tap '否' on the Hong Kong study abroad prompt.
18:40:51–18:40:53  I open the chat with Yang Huiyuan in Ziroom.
18:40:53–18:40:58  I read the chat history with Yang Huiyuan about Pudong rentals.
18:40:59–18:41:04  I read Ziroom chat messages about short-term housing.
18:41:05–18:41:07  I copy my housing requirement message in Ziroom.
18:41:08–18:41:12  I scroll through the Ziroom chat.
18:41:13–18:41:15  I switch to the Beike Renting app.
18:41:16–18:41:18  I paste copied rental requirements into Beike search.
18:41:19–18:41:26  I edit the search query to 'University X上海自主智能无人系统科学中心'.
18:41:27–18:41:29  I search for housing near University X Shanghai Autonomous Intelligent Unmanned Systems Science Center on Beike.
18:41:29–18:41:33  I look at the rental search results.
18:41:34–18:41:36  I open the district filter menu.
18:41:37–18:41:37  I browse sub-areas under 浦东.
18:41:38–18:41:40  I say '浦东，曹路。'
18:41:41–18:41:44  I tap '查看房源'.
18:41:45–18:41:48  I inspect the rental listings.
18:41:49–18:41:53  I swipe through background apps in the app switcher.
18:41:54–18:41:55  I open WeChat.
18:41:56–18:41:57  I tap the '通讯录' tab.
18:41:58–18:41:58  I view the '新的朋友' list.
18:41:59–18:42:01  I view User W's WeChat contact profile.
18:42:01–18:42:07  I open User W's WeChat Channels homepage.
18:42:07–18:42:11  I dismiss the WeChat Channels privacy notification modal.
18:42:11–18:42:22  I type '帮找个单人租从7月初租到8月底[University X]上海自主智能无人系统科学中心附近租金3k以内'.
18:42:22–18:42:25  I send the rental inquiry message to User W.
18:42:25–18:42:28  I return to User W's Channels homepage.
18:42:29–18:42:32  I browse the WeChat New Friends list.
18:42:33–18:42:43  I look at the woman standing beside the bed.
18:42:44–18:42:45  I look toward the foot of the bed.
18:42:46–18:42:49  I open the contact profile for 自如比邻Alaia.
18:42:50–18:42:54  I navigate to the WeChat chat list and locate User B.
18:42:55–18:42:58  I open User B's chat and say '嗯，唐镇。'.
18:42:59–18:43:02  I watch my companion adjust her skirt.
18:43:02–18:43:05  I read the WeChat chat.
18:43:05–18:43:08  I watch my companion lie down on me.
18:43:08–18:43:10  I say '嗯嗯嗯嗯嗯。'
18:43:10–18:43:15  I look toward the laptop.
18:43:15–18:43:24  I view the hills through the window.
18:43:24–18:43:29  I monitor the laptop display.
18:43:29–18:43:33  I look at the laptop screen.
18:43:33–18:43:34  I glance down at my sweater.
18:43:34–18:43:43  I watch the laptop display.
18:43:43–18:43:46  I glance at my sweater.
18:43:46–18:43:53  I read WeChat messages on my phone.
18:43:53–18:43:55  I look out the window.
18:43:55–18:43:57  I look down at my sweater.
18:43:57–18:43:59  I read WeChat messages on my phone.
18:43:59–18:44:00  I tap on the 公众号 folder in WeChat.
18:44:00–18:44:14  I tap to open the 量子位 article '2026年，1800个DeepSeek跟我一起守护艾泽拉斯'.
18:44:15–18:44:20  I read the opening paragraphs of the 量子位 article.
18:44:20–18:44:23  I read AI chat dialogues in the article.
18:44:23–18:44:28  I read the API cost breakdown in the article.
18:44:29–18:44:32  I read the 量子位 article about DeepSeek AI players in World of Warcraft.
18:44:33–18:44:34  I look at the laptop screen.
18:44:35–18:44:36  I look at the companion's hair.
18:44:37–18:44:41  I look at the white phone screen.
18:44:42–18:44:43  I look at the companion resting beside me.
18:44:44–18:44:51  I look at the lower phone screen.
18:44:52–18:44:58  I watch the phone screen as an image loads.
18:44:59–18:45:11  I look at my smartphone.
18:45:12–18:45:17  I adjust my grip on the smartphone.
18:45:18–18:45:25  I scroll through the DeepSeek article.
18:45:26–18:45:28  I read the DeepSeek article on World of Warcraft.
18:45:29–18:45:31  I read the DeepSeek article.
18:45:31–18:45:38  I watch my partner lean over me.
18:45:38–18:45:46  My partner says '我讨厌你！你这个臭狗屎！破眼镜！'.
18:45:46–18:45:58  My partner says '我说他臭狗屎！'.
18:45:59–18:46:02  I look at the window and curtain.
18:46:02–18:46:13  I look at the woman.
18:46:13–18:46:20  I watch the woman lean over my legs.
18:46:20–18:46:23  I say '哦哦哦哦。'
18:46:23–18:46:27  I look at the laptop.
18:46:27–18:46:29  I look at the woman.
18:46:29–18:46:31  I look toward the window scenery.
18:46:31–18:46:34  I look at the residential buildings on the hillside.
18:46:34–18:46:40  I observe the clouds above the mountain ridge.
18:46:40–18:46:48  I scan the lower cloud layer.
18:46:48–18:46:58  I watch the cloudscape over the hills.
18:46:59–18:47:00  I watch the clouds through the window.
18:47:00–18:47:02  I point toward the clouds.
18:47:02–18:47:05  I say 'Look, it's moving very fast.' to my companion.
18:47:05–18:47:07  I say 'Look.' to my companion.
18:47:07–18:47:10  I view the mountain and buildings outside.
18:47:10–18:47:16  I look at my companion.
18:47:16–18:47:19  I glance at the clouds.
18:47:19–18:47:28  I look at my companion.
18:47:29–18:47:33  I look at User A.
18:47:33–18:47:36  I say '嗯嗯。'
18:47:36–18:47:42  I place my hand on User A's waist.
18:47:42–18:47:51  I gaze up at User A.
18:47:51–18:47:58  I hold User A's hand and wrist.
18:47:59–18:48:04  I look at my companion.
18:48:05–18:48:11  I watch my companion adjust her cardigan.
18:48:12–18:48:17  I gaze out the window.
18:48:18–18:48:20  I raise my arm toward the window.
18:48:21–18:48:28  I gaze at the mountain and clouds out the window.
18:48:29–18:48:36  I look out the window.
18:48:37–18:48:44  Companion says 'User A，你是个自私鬼。'.
18:48:45–18:48:50  I say '为什么？'.
18:48:51–18:48:56  I look at my companion.
18:48:57–18:48:58  I point out the window towards the sky.
18:48:59–18:49:01  I point out the window toward the sky and mountains.
18:49:01–18:49:05  I look at the hillside buildings.
18:49:05–18:49:08  I say '嗯嗯。'.
18:49:08–18:49:20  I watch the clouds over the mountain ridge.
18:49:20–18:49:25  I observe the distant clouds over the hills.
18:49:25–18:49:29  I look out at the mountain landscape.
18:49:29–18:49:32  User A says '建议你去之前剪个头。'
18:49:33–18:49:35  I say '嗯。'
18:49:36–18:49:39  I say 'You are right.'
18:49:40–18:49:44  I ask 'Do you want to hang out?'
18:49:45–18:49:48  User A says 'Okay.'
18:49:49–18:49:58  User A says '你可以自己出去，顺便把快递拿。'
18:49:59–18:50:07  User A says '哦。Okay, I think we need to grab it fast, so it doesn't melt.'
18:50:07–18:50:16  I say '你说的对，他昨今天送到。'
18:50:16–18:50:23  User A says 'Let's go, let's take that.'
18:50:23–18:50:26  I look at User A.
18:50:26–18:50:29  I look at User A's sleeve.
18:50:29–18:50:33  I say "Let's go."
18:50:33–18:50:40  I say "Walk outside will help you to have a happy emotion." to my companion.
18:50:40–18:50:47  I say "Stay here will maintain it." to my companion.
18:50:47–18:50:52  I say "Let's go. Let's go." to my companion.
18:50:52–18:50:57  I say "We go. We go." to my companion.
18:50:57–18:50:59  I look at the laptop screen.
18:50:59–18:51:01  I look at the laptop screen.
18:51:01–18:51:05  I look at User A.
18:51:05–18:51:10  User A says "We go. We don't go. I go, you go. Okay."
18:51:10–18:51:15  I reach toward User A's hand.
18:51:15–18:51:21  I look at User A.
18:51:21–18:51:28  I look down at our clasped hands.
18:51:29–18:51:32  The friend says 'I need your phone, I guess.'
18:51:33–18:51:35  The friend says 'No, I mean the card.'
18:51:36–18:51:42  The friend says 'Do you remember that? They need to tap tap the card.'
18:51:43–18:51:46  The girl says '对，你说对。'
18:51:47–18:51:48  The friend says 'Yep.'
18:51:49–18:51:52  The girl says '我可以把手机给你。'
18:51:53–18:51:57  I gaze out the window at the sky.
18:51:58–18:51:59  I look at the wooden headboard.
18:51:59–18:52:04  I lie on the bed.
18:52:04–18:52:09  I look at my companion.
18:52:09–18:52:14  I say '那水是淡淡的。'
18:52:15–18:52:20  I look toward the window frame.
18:52:21–18:52:25  I look at my companion's lap.
18:52:26–18:52:29  I place my hand on my companion's back.
18:52:29–18:52:32  I lower my hand.
18:52:32–18:52:36  My companion says "OK。Let's play outside, then I will became浓浓的。Because it's more".
18:52:36–18:52:49  I pinch the blanket fabric.
18:52:49–18:52:51  I look at the dark clothing.
18:52:51–18:52:54  I look up toward the ceiling.
18:52:54–18:52:57  I glance at my raised knee.
18:52:57–18:52:59  I look at my companion.
18:52:59–18:53:05  I watch the woman walk away.
18:53:06–18:53:14  I look at the bedding.
18:53:15–18:53:19  I look at the laptop screen.
18:53:20–18:53:21  I look at the hanging clothes.
