17:54:10–17:54:14  I descend the stairs.
18:31:40–18:31:42  I hold a green spray bottle.
18:31:42–18:31:44  User A says '你是要拍个种田的不？'.
18:31:44–18:31:47  I gaze at the rice paddy and karst mountain.
18:31:48–18:31:51  I look at the resort lawn and cabins.
18:31:51–18:31:53  User A says '那小电车真不错哎！叮叮叮。'.
18:31:54–18:31:58  I frame the mountain landscape with my hand.
18:31:59–18:32:05  I look at the rice field vista.
18:32:06–18:32:07  I frame the rice field through my fingers.
18:32:08–18:32:09  I take the white shirt from User A.
18:32:10–18:32:11  I take the white handbag.
18:32:11–18:32:14  I watch the woman pose.
18:32:14–18:32:18  I watch the woman pose with her phone.
18:32:18–18:32:24  I frame a photo of the woman.
18:32:24–18:32:28  The woman says '钉钉。他要坐哪开？怎么这么烦人啊！'.
18:32:28–18:32:30  I adjust the flower decoration.
18:32:30–18:32:35  I watch the woman pose.
18:32:35–18:32:39  I watch the woman photograph the scenery.
18:32:40–18:32:46  I watch a woman take photos.
18:32:46–18:32:51  The woman says '啊，可是这样才是正光。怎么这么烦人啊！'.
18:32:51–18:32:55  I watch the woman walk past me.
18:32:55–18:32:58  I look across the walkway.
18:32:58–18:33:10  I look down at the rice stalks.
18:33:10–18:33:18  I observe the rice stalks.
18:33:18–18:33:24  I say "你看这个大田螺还是蜗牛，还在那儿爬呢。"
18:33:24–18:33:29  I examine the rice plants.
18:33:29–18:33:34  I point at the snail.
18:33:34–18:33:37  I say "这个大田螺，你看。"
18:33:37–18:33:40  I look at the platform edge.
18:33:40–18:33:45  I say '这么多虫子，这个水稻竟然没有被吃光，真是！'
18:33:45–18:33:54  I observe the rice paddy.
18:33:55–18:33:57  I raise my left hand.
18:33:57–18:34:04  I look across the rice fields.
18:34:04–18:34:09  I watch the rice crop.
18:34:10–18:34:14  I say '为啥老是在这来回踱步呢？感觉他们在怕什么东西，躲在这儿。'
18:34:14–18:34:20  I say '人是第一大害虫。不会是一堆怕老婆的鸭子躲在这躲老婆吧？'
18:34:20–18:34:27  My companion says '我们去那边。你给我拍个后面，我们去外面拍吧。'
18:34:27–18:34:33  I follow my companion.
18:34:33–18:34:37  I say '这里虫子好，蚊蚊子的幼虫好多。'
18:34:37–18:34:40  I look at the wooden steps.
18:34:40–18:34:47  The companion says '哎呀，那个不就是在水上长腿儿那那那不就是蚊子幼虫吗？叫什么浮游还是啥？不对，不是浮游，还是叫啥？叫孑孓。'
18:34:47–18:34:55  I follow my companion across the lawn.
18:34:55–18:34:59  The companion says '你要不要腿中间也喷一下？'
18:34:59–18:35:01  I say '啊？什么？'
18:35:01–18:35:04  The companion says '腿腿，腿那儿也喷一下。'
18:35:04–18:35:06  I say '腿我不是喷了吗？'
18:35:06–18:35:09  I say '我再喷一...'
18:35:10–18:35:13  I say '哦，你看他那个一大只鸡。'
18:35:14–18:35:19  I watch my companion check for mosquito bites.
18:35:20–18:35:23  I look at the restroom sign.
18:35:24–18:35:28  I take the mosquito repellent spray bottle.
18:35:29–18:35:32  I inspect the mosquito repellent bottle.
18:35:33–18:35:37  I spray mosquito repellent onto my leg.
18:35:38–18:35:39  I look down at the path.
18:35:40–18:35:41  I raise my right leg.
18:35:41–18:35:42  I say '啊！'.
18:35:42–18:35:44  I spray mosquito repellent on my lower leg.
18:35:44–18:35:48  I cap the spray bottle.
18:35:48–18:35:52  I observe the '明仕山野' restaurant exterior.
18:35:52–18:35:58  I walk along the pathway.
18:35:58–18:36:04  I follow the woman onto the lawn.
18:36:04–18:36:10  I walk toward the outdoor pavilion.
18:36:10–18:36:14  I walk along the stone path holding an insect repellent bottle.
18:36:14–18:36:23  I walk toward the road.
18:36:23–18:36:26  I step onto the road.
18:36:26–18:36:31  I say '为什么咕噜咕噜的呀？'.
18:36:31–18:36:36  I say '这边是有个水管。'.
18:36:36–18:36:39  I look across the rice field toward the mountains.
18:36:40–18:36:42  I observe a parked motorized tricycle.
18:36:42–18:36:46  I walk toward a wooden fence gate.
18:36:46–18:36:50  I walk along the slate stone path.
18:36:50–18:36:54  I walk through an open wooden fence gate.
18:36:54–18:36:56  I observe ripples in a pond.
18:36:56–18:36:58  I say '哦，还有养鱼的。'
18:36:58–18:37:03  I follow my companion along the slate path.
18:37:03–18:37:05  I observe utility poles and power lines.
18:37:05–18:37:10  I observe a karst mountain and its pond reflection.
18:37:10–18:37:14  I follow companion along a stone path.
18:37:14–18:37:19  The companion exclaims '哇，好大呀！'.
18:37:19–18:37:27  I say '螺呀，这还不大？'.
18:37:27–18:37:33  I look at companion walking ahead.
18:37:33–18:37:39  I say '螺呀，活的呀。'.
18:37:40–18:37:42  I say "他咋爬这儿来了？"
18:37:43–18:37:45  I place the snail on the slate stone.
18:37:46–18:37:48  I say "好奇怪呀！"
18:37:49–18:37:55  I look along the stone path.
18:37:56–18:38:00  I gaze at the pond and karst mountains.
18:38:01–18:38:04  I look at User A taking photos.
18:38:05–18:38:07  I say "给扔水里头去。"
18:38:08–18:38:09  I look toward the pond.
18:38:10–18:38:12  I look at the pond and mountain landscape.
18:38:12–18:38:21  I walk forward along the stone path.
18:38:21–18:38:25  The companion says '你走开。哦。你拿着，你举着。'.
18:38:25–18:38:28  The companion says '我俩，你举，你拍我俩。'.
18:38:28–18:38:40  I raise the smartphone to frame a photo.
18:38:40–18:38:43  The companion says '嗯，不是，我这怎么感觉跟蟑螂一样？'.
18:38:44–18:38:47  The companion says '头发。笑死！'.
18:38:48–18:38:52  I say '我先租个小电动吧。'.
18:38:53–18:38:57  The companion says '好啊。'.
18:38:58–18:39:04  I adjust the selfie composition.
18:39:05–18:39:09  I raise the phone overhead.
18:39:10–18:39:16  The companion says '再来一个，要拍到，要不能只拍脸，要拍到整个。'
18:39:17–18:39:26  I take a selfie photo.
18:39:27–18:39:28  I say '好'.
18:39:29–18:39:31  The companion says '咋了？咋了？'
18:39:32–18:39:38  I walk along the stone path.
18:39:39–18:39:40  I adjust my smart glasses.
18:39:40–18:39:42  Companion says '你怎么这么呆呢？' to me.
18:39:42–18:39:44  I look at the paddy field and mountains.
18:39:44–18:39:47  I say '我一拍照就变呆了，'
18:39:47–18:39:51  I say '我一拍照就变小呆瓜。'
18:39:51–18:40:00  I walk along the stone path.
18:40:00–18:40:04  I look ahead at the pathway.
18:40:04–18:40:07  Companion says '哎，你在这儿给我听。' to me.
18:40:07–18:40:10  I walk along the stone path.
18:40:10–18:40:12  User 1 says "我想坐那边儿".
18:40:12–18:40:16  I say "我问你开那个全景，开我坐那边儿，那能看得着你不？"
18:40:16–18:40:19  User 1 says "能啊，我是一抹亮丽的黄。"
18:40:19–18:40:21  I say "走呗。"
18:40:21–18:40:39  I walk along the stone path.
18:40:40–18:40:44  I walk along the stone path.
18:40:44–18:40:49  I walk along the stone path.
18:40:49–18:40:55  I walk along the stone path.
18:40:55–18:41:00  I walk toward the pond.
18:41:00–18:41:04  I walk along the stone path.
18:41:04–18:41:07  I examine the creeping squash vine.
18:41:07–18:41:10  I walk toward the gazebo.
18:41:10–18:41:14  I say '走呗，这是人家的吧？你看，这连着人家院呢。'
18:41:14–18:41:17  The companion says '你你去也行，我估计没人'.
18:41:18–18:41:20  I say '那肯定也是人家的呀。' while pointing.
18:41:20–18:41:24  The companion says '那那好吧。你可以去一下，没事儿，没人，没人现在。'.
18:41:25–18:41:30  I ask '有有人进去吗？'.
18:41:31–18:41:35  The companion says '没有，这这家没人。'.
18:41:36–18:41:39  I follow the companion along the stone pathway.
18:41:40–18:41:43  I look at the banana plant leaves.
18:41:43–18:41:47  I walk along the stone path.
18:41:48–18:41:51  I turn onto the stone path.
18:41:52–18:41:56  I walk toward the pond.
18:41:56–18:41:59  I say '这不开着灯吗？'.
18:41:59–18:42:01  My companion asks '哪开着灯了？'.
18:42:01–18:42:04  I say '哦，对，你去那边看看。' to my companion.
18:42:04–18:42:06  My companion says '走吧。'.
18:42:06–18:42:10  I follow my companion along the stone path.
18:42:10–18:42:13  I walk along the stone path.
18:42:13–18:42:17  Companion says '七。多了个露台是吧？'.
18:42:17–18:42:21  I say '咱也有，咱就是在二楼。'.
18:42:21–18:42:25  Companion says '啊？可以啊。'.
18:42:25–18:42:33  I walk along the gravel path.
18:42:33–18:42:39  I walk along the slate pathway.
18:42:40–18:42:48  I walk along a stone path.
18:42:48–18:42:55  I follow the woman.
18:42:55–18:43:04  I watch the woman raise her smartphone.
18:43:04–18:43:07  I say "小别猪，别猪，别猪。"
18:43:07–18:43:09  I raise my hand.
18:43:10–18:43:14  The woman says '嗯。不要拍怪，奇奇怪怪的，给我拍好看。'
18:43:15–18:43:17  I track the woman on the camera.
18:43:18–18:43:23  I aim the camera at the woman.
18:43:24–18:43:27  I frame the woman posing with arms raised.
18:43:28–18:43:33  The woman says '不要走，就在。指导一下我，你说一下。'
18:43:34–18:43:36  I take a photo.
18:43:37–18:43:39  The woman says '我快被咬死了。'
18:43:40–18:43:44  I say '走吧，这个驱蚊水不好。这个驱蚊水没有避蚊胺，纯草本不行。'
18:43:44–18:43:47  The companion says '什么？他是什么鬼？拍全身照。'
18:43:47–18:43:51  I say '全身照不太好看。什么？'
18:43:51–18:43:54  I hand my smartphone to the companion.
18:43:54–18:44:09  I walk along the path behind the companion.
18:44:10–18:44:16  I say '这妆还行，但是感觉很奇怪。'
18:44:16–18:44:20  Companion asks '你什么意思？'
18:44:20–18:44:26  I say '我就是对你有意思。'
18:44:26–18:44:33  Companion asks '我很丑吗？难道？'
18:44:33–18:44:40  I walk along the stone path.
18:44:40–18:44:45  I walk along a stone path behind my companion.
18:44:45–18:44:47  Companion asks '我很不会拍吗？'.
18:44:47–18:44:49  I say '难道这不明摆着吗？' to my companion.
18:44:49–18:44:53  I open my shoulder bag.
18:44:53–18:44:56  I uncap the insect repellent bottle.
18:44:56–18:45:03  I spray repellent on my right leg.
18:45:03–18:45:06  I say '不行，还得再来点儿。'
18:45:06–18:45:10  I spray repellent on my left leg and foot.
18:45:10–18:45:16  I spray mosquito repellent onto my legs.
18:45:16–18:45:20  I walk along the stone path toward the road.
18:45:21–18:45:24  I watch two people ride a pink sidecar scooter.
18:45:24–18:45:28  I watch my companion walk along the road.
18:45:28–18:45:31  I say "好，我去问一下前台咋租。"
18:45:31–18:45:39  I walk along the curving road.
18:45:40–18:45:42  I say '回去了。'.
18:45:42–18:45:47  I walk along the asphalt road.
18:45:47–18:45:51  I walk forward along the asphalt road.
18:45:51–18:45:57  I gaze at the silver-white sedan and restaurant sign.
18:45:57–18:46:01  I walk toward the three-way junction.
18:46:01–18:46:05  I look toward the right riverside path.
18:46:05–18:46:09  I read the '农耕观测 服务站' sign.
18:46:10–18:46:12  I walk along the pathway.
18:46:13–18:46:16  I say '哦，是竹子吗？'.
18:46:17–18:46:22  A companion says '不知道啊。'.
18:46:23–18:46:26  I look at the tall bamboo stalks.
18:46:27–18:46:29  I hold a green bottle.
18:46:30–18:46:36  I read the '高压危险，禁止垂钓！' warning sign.
18:46:37–18:46:39  I look down the curving path.
18:46:40–18:46:44  I say '对，我知道，我问问他们从哪租的。'
18:46:44–18:46:48  I say '应该问小红书是吧？'
18:46:48–18:46:55  I observe the verge plants and stones.
18:46:55–18:47:04  I say '哦，这好多店。'
18:47:04–18:47:09  I walk toward the parked scooters.
18:47:10–18:47:14  I say "电动车呀，前厅部，这种也可以。"
18:47:14–18:47:20  I approach the front office cabin.
18:47:20–18:47:25  I walk up to the cabin entrance.
18:47:25–18:47:28  I ask "哎，你好，那种电动车从哪儿租？"
18:47:28–18:47:32  The staff member says "呃，我们可以联系外面师傅送过来，租车师傅。"
18:47:32–18:47:34  I ask "OK，他们有什么样的？"
18:47:34–18:47:39  The staff member says "哦，外面现在还有一个带棚的，或者说你拿那种八嘎车，是两轮的那种电动车。"
18:47:40–18:47:42  I observe the rural landscape and companion.
18:47:42–18:47:46  I spot a snail near the doorway.
18:47:47–18:47:50  I watch companions walking outside.
18:47:50–18:47:56  I look at the entrance porch.
18:47:57–18:48:02  I observe companions entering the reception.
18:48:03–18:48:06  I watch the staff member at the table.
18:48:06–18:48:10  I observe the receptionist checking his phone.
18:48:10–18:48:13  I observe the reception entrance.
18:48:13–18:48:16  I look at the porch doormat.
18:48:16–18:48:23  I listen to '所以我们不太确定今天有没有必要就是单独去一个那个旅店。'
18:48:24–18:48:27  I look at my companion holding anti-itch liquid.
18:48:28–18:48:32  I take the roll-on bottle.
18:48:32–18:48:35  I apply the soothing liquid to my thigh.
18:48:35–18:48:38  My companion says '不是你又没咬，你涂这干啥？你别浪费我咬了的。'
18:48:38–18:48:40  I say '好吧。'
18:48:40–18:48:42  Staff explains "哦，这个可以啊。对的，这都是按小时收费的，这个是比较贵的，对。为什么要这么贵？"
18:48:43–18:48:46  Staff says "可以啊，可以啊。可以啊，可以啊。"
18:48:47–18:48:51  Someone asks "那我那我们可以开车过去取吗？还是怎么着？他在哪里？" and staff replies "他送过来就可以了。坐等。"
18:48:52–18:48:56  Companion asks "你要这个还是那个？" and someone says "哦。这个这个反正也只贵十块钱。"
18:48:57–18:49:00  Companion asks "你要坐八嘎车吗？" and someone says "我想坐这个。"
18:49:01–18:49:04  I say "那要这个四十这个。" and staff replies "可以可以。啊，带你去就可以了。"
18:49:05–18:49:07  I return the smartphone to staff as they say "好。"
18:49:08–18:49:10  I look out across the porch toward the green field.
18:49:10–18:49:12  My companion says "我要涂，我好喜欢这个。"
18:49:13–18:49:17  I say "你你涂不是因为你被咬了，是因为你单纯要涂。" to my companion.
18:49:18–18:49:20  My companion says "对啊。"
18:49:21–18:49:23  I say "等我去拿个电源吧，我这个眼镜快没电了。" to my companion.
18:49:24–18:49:25  I hand the bottle of anti-itch liquid to my companion.
18:49:26–18:49:27  My companion says "哦，好好好。"
18:49:28–18:49:29  I say "我回去拿个电源去。"
18:49:30–18:49:33  I open my white leather bag.
18:49:34–18:49:36  I walk toward the cabin entrance.
18:49:37–18:49:39  I watch my companion walking toward me.
18:49:40–18:49:45  I say '啊！咱们这个房子真挺好的，你看，隔壁那个只有一层。'
18:49:46–18:49:50  Companion says '这不是房子，隔壁那个是他们的那个。'
18:49:51–18:49:54  I walk toward Cabin 4.
18:49:55–18:49:57  I say '是，那是三号，咱们这是四号。'
18:49:58–18:50:01  Companion says '咱们是最便宜的那个户型。'
18:50:02–18:50:04  I say '咱们这个挺好的，我是真感觉挺好。'
18:50:04–18:50:06  I tap the key card.
18:50:06–18:50:08  I open the door.
18:50:08–18:50:09  I inspect Cabin 4.
18:50:10–18:50:13  I say "哇，好有安全感啊！"
18:50:14–18:50:18  I climb the stairs.
18:50:19–18:50:24  I say "爱了，这就是挪威的那种北极冰川极地小屋的感觉。"
18:50:25–18:50:28  I say "爱了，爱了，爱了。啊。"
18:50:29–18:50:35  I walk downstairs.
18:50:36–18:50:39  I present a power bank.
18:50:40–18:50:42  I reply '没有啊。' after the companion asks '啊！你没看过这个？'.
18:50:42–18:50:45  The companion says '十二星座决定你的庇护所。' and I reply '哦。'.
18:50:45–18:50:48  The companion says '哎，十二星座决定我是壁虎座呢。'.
18:50:48–18:50:57  I watch the companion walk outside.
18:50:57–18:51:00  I pull the curtain.
18:51:00–18:51:03  I examine the curtain track.
18:51:03–18:51:06  I say '你好，天猫精灵。'.
18:51:06–18:51:08  The smart speaker responds '我在，你说。'.
18:51:08–18:51:10  I say '把一楼的窗帘拉开。'.
18:51:10–18:51:13  I watch my companion draw the curtains.
18:51:14–18:51:16  I walk toward the cabin exit.
18:51:17–18:51:20  I say '好凉快啊！'.
18:51:21–18:51:25  I ask '哎，那个那个图B D呢？图B图B D。'.
18:51:26–18:51:30  My companion says '那叫文不。'.
18:51:31–18:51:35  I say '图B D图B D。'.
18:51:36–18:51:39  My companion says '那玩意儿干，你刚不涂了吗？'.
18:51:40–18:51:43  I observe the wooden cabins and data monitoring cabinet.
18:51:43–18:51:46  I ask '还有我们那个车是在哪里拿？'
18:51:47–18:51:52  I walk along the path while humming.
18:51:53–18:51:58  I say '我看到那个小粉。'
18:51:59–18:52:04  I gaze at the rice fields and karst mountains.
18:52:05–18:52:09  I monitor a scooter riding past while humming.
18:52:10–18:52:16  I say '哒哒哒，八嘎车，八嘎车也蛮有意思的。为什么那个叫八嘎车？你不觉得就是感觉很奇怪吗？' to my companion.
18:52:16–18:52:20  I say '虽然我知道它为什么叫八嘎车，但是为什么？感觉怪怪的，说不上来。日本特，'
18:52:20–18:52:25  I say '哎，我操，我手机呢？'
18:52:25–18:52:30  I walk toward the bamboo grove junction.
18:52:30–18:52:34  I say '哦，在这儿，' while checking my phone.
18:52:34–18:52:40  I say '来了就是。啊，这小粉。'
18:52:40–18:52:43  I ask '有什么好逛的点？' and the staff recommends '您可以到那个雨林坝那边，那边是一条骑行路线。'.
18:52:43–18:52:48  I watch the staff ride forward.
18:52:49–18:52:52  The staff says '这是哦，这个给您准备的雨棚，如果您不要了，就可能是刚刚是。'.
18:52:53–18:52:56  Companion says '中哥，要不我们叫他们帮我们租一辆这种车吧，不要租那种。' and staff asks '要，那那你还需要这个雨棚吗？'.
18:52:57–18:53:02  Companion says '不需要吧，应该不会下雨吧？'.
18:53:03–18:53:06  I watch the staff remove the rain cover.
18:53:07–18:53:10  Someone says '要下雨了也难找呗。' as I inspect the cart seats.
18:53:10–18:53:13  I ask '这儿吗？'
18:53:13–18:53:18  I examine the cart seat cushion.
18:53:18–18:53:23  I inspect the pink cart.
18:53:24–18:53:29  I ask '几点能过来？几分钟了过来？'
18:53:30–18:53:34  I look towards my companions.
18:53:35–18:53:39  I look at my companion.
18:53:40–18:53:43  I watch my companion gesture toward the road.
18:53:44–18:53:47  I look at the parked electric cart.
18:53:48–18:53:53  I check my iPhone.
18:53:54–18:53:57  I look up toward passing scooters.
18:53:58–18:54:00  I inspect the seats of the pink cart.
18:54:01–18:54:03  I say '你要开播？不开，你开。你不喜欢开这个？这个老好玩了。我要拍照。OK。教你怎么开。'
18:54:04–18:54:07  I say '你你先上去。'
18:54:08–18:54:09  I touch the seat cushion and inspect the controls.
18:54:10–18:54:14  I listen as my companion demonstrates the cart controls.
18:54:14–18:54:19  I ask '这边这边哪里有好好逛的，好逛一些的附近？'
18:54:20–18:54:25  I search 'yulinba' on Amap.
18:54:26–18:54:35  I say '就这个就行呗。'
18:54:36–18:54:37  I say '啊，这个这个。'
18:54:38–18:54:39  I view the route to Mingshi Scenic Area Yulin Dam.
18:54:40–18:54:44  I start navigation to 明仕田园风景区鱼鳞坝.
18:54:45–18:54:49  I say '哎，不带风了，不。这蚊子好大一个，赶紧开走。'
18:54:50–18:54:56  I view navigation on my iPhone.
18:54:57–18:55:00  I mount my iPhone onto the dashboard.
18:55:01–18:55:04  I turn the ignition key.
18:55:05–18:55:07  I disengage parking mode.
18:55:08–18:55:09  I grip the handlebars.
18:55:10–18:55:13  I sit in the mobility cart.
18:55:13–18:55:20  I hold the handlebar grips.
18:55:20–18:55:24  I accelerate the mobility cart.
18:55:24–18:55:26  My passenger exclaims '哦！哦，你慢一点！哦，吓死人了！'.
18:55:26–18:55:28  My passenger says '啊，好，好，好，开个雨刷。' while turning on the wiper.
18:55:28–18:55:31  My passenger says '哦，还有雨刷。啊？'.
18:55:31–18:55:36  I drive along the paved road.
18:55:36–18:55:39  I gaze at the karst mountain scenery.
18:55:40–18:55:41  I observe the rural scenery.
18:55:42–18:55:45  I say '干嘛？哦，好，走吧。'
18:55:46–18:55:48  The passenger says '哎，慢一点啊！'
18:55:49–18:55:53  I say '好好好好好好好。'
18:55:54–18:56:01  I cruise forward along the road.
18:56:02–18:56:05  I pass an oncoming vehicle.
18:56:06–18:56:09  I say 'T T Four Sport是什么意思？'
18:56:10–18:56:12  I drive the electric cart.
18:56:12–18:56:14  The passenger says '哇，这么多！你要在这拍布？这有啥拍的？'
18:56:14–18:56:16  The passenger says '抽水沟，这有抽水沟。' and I reply '有。'
18:56:16–18:56:18  The passenger says '不行。再叫一下。'
18:56:18–18:56:24  I steer past pedestrians and parked carts.
18:56:25–18:56:28  The passenger says '哎呦我操！慢一点，我找水。'
18:56:28–18:56:32  I accelerate along the road.
18:56:33–18:56:36  The passenger says '啊。我说了，慢一点。'
18:56:36–18:56:39  I steer the electric cart.
18:56:40–18:56:41  I say '哦，好。'
18:56:41–18:56:43  I look at the lotus pond and karst mountains.
18:56:43–18:56:45  I check the left side mirror.
18:56:45–18:56:47  I look at the roadside lotus leaves.
18:56:47–18:56:50  I steer along the curve.
18:56:50–18:56:54  I watch the oncoming black MPV.
18:56:54–18:56:57  I decelerate toward the oncoming black MPV.
18:56:57–18:57:01  I brake to yield to the black MPV.
18:57:01–18:57:03  I check the phone navigation screen.
18:57:03–18:57:05  I wait for the MPV to pass.
18:57:05–18:57:07  I say '哦，好凉。'
18:57:07–18:57:10  I accelerate into the parking area.
18:57:10–18:57:12  I drive toward an exit gate.
18:57:12–18:57:14  My companion says "快啊！不是道路尽头右转吗？"
18:57:14–18:57:16  The phone navigation voice announces "左转，随后在道路尽头右转。"
18:57:16–18:57:18  I say "对的，对的。" to my companion.
18:57:18–18:57:21  I steer through the junction.
18:57:21–18:57:24  I monitor navigation and handlebar.
18:57:24–18:57:26  I observe roadside direction signs.
18:57:26–18:57:31  I accelerate along the asphalt road.
18:57:31–18:57:34  I say "哦，这是干嘛？"
18:57:34–18:57:39  I steer along the winding road.
18:57:40–18:57:43  The passenger says "啊，这是脚刹。慢一点开。".
18:57:43–18:57:48  The passenger says "这么赶时间，开那么快干吗？车子容易起包翻的嘛".
18:57:48–18:57:51  I say "我慢一点。".
18:57:51–18:57:58  I drive the scooter toward the junction.
18:57:58–18:58:03  I look toward the 那乙屯 village entrance.
18:58:03–18:58:06  I turn right onto the main road.
18:58:06–18:58:10  I drive past the smart agriculture display board.
18:58:10–18:58:17  I steer the electric scooter.
18:58:17–18:58:19  I say "哦，好凉快儿啊！"
18:58:19–18:58:22  I steer the electric scooter.
18:58:22–18:58:25  I say "那我得看导航啊。"
18:58:25–18:58:33  I check the navigation on my smartphone.
18:58:33–18:58:37  I examine the navigation route.
18:58:37–18:58:40  I mount the smartphone on the console.
18:58:40–18:58:43  I say '好吧，那我先靠边停车。'
18:58:43–18:58:47  I unmount my smartphone.
18:58:47–18:58:58  I steer the cabin scooter along the road.
18:58:59–18:59:02  I steer into the roadside clearing.
18:59:02–18:59:05  I put the smartphone into the storage pocket.
18:59:05–18:59:07  I say '哎呀，这样吧，好了。'
18:59:07–18:59:09  I press the switch button on the right handlebar.
18:59:10–18:59:13  I check the instrument cluster and navigation.
18:59:14–18:59:15  I check the right side mirror.
18:59:16–18:59:20  I drive onto the road and accelerate.
18:59:21–18:59:26  My passenger says, '不快，这才二十五。我我家两轮电动车都这个速度。'
18:59:27–18:59:30  I say '准备冲水。'
18:59:31–18:59:35  My passenger says, '不喜欢。哎呀，不要冲水，别浇到人家了。'
18:59:36–18:59:39  I drive along the road.
18:59:40–18:59:42  The passenger asks '呼！飙上来了，飙上来了吗？'.
18:59:42–18:59:43  I say '没有。'.
18:59:43–18:59:45  I check the puddle.
18:59:45–18:59:47  The passenger says '一边飙上来一边往旁边看，你什么意思啊？'.
18:59:47–18:59:49  I check the rearview mirror.
18:59:49–18:59:51  I say '那后面有车呀！'.
18:59:51–18:59:54  The passenger asks '这个小八嘎得给汽车让路不？'.
18:59:54–18:59:56  I steer toward the crossing.
18:59:56–18:59:58  I ask '哪个？'.
18:59:58–19:00:01  The passenger says '哦，是嘞。'.
19:00:01–19:00:04  I read hotel signs.
19:00:04–19:00:07  I steer along the shoulder line.
19:00:07–19:00:10  I observe an oncoming cart.
19:00:10–19:00:12  I say '没有很久。'
19:00:13–19:00:18  I steer the electric scooter along the road.
19:00:19–19:00:20  I check the speedometer on the instrument cluster.
19:00:21–19:00:23  I drive through standing water on the road.
19:00:24–19:00:26  I track the white BYD sedan ahead.
19:00:27–19:00:30  I check the left side mirror.
19:00:31–19:00:34  I observe a pedestrian walking along the roadside.
19:00:35–19:00:39  I steer past a parked delivery cart.
19:00:40–19:00:42  I steer the electric tricycle.
19:00:42–19:00:43  I look at the 老娘大牌档 restaurant entrance.
19:00:43–19:00:45  My companion says '哎呀！咱老往下缓，要下车了。'.
19:00:45–19:00:47  I inspect my left wrist.
19:00:47–19:00:49  My companion asks '就被蚊子咬了吗？'.
19:00:49–19:00:51  I say '对啊。'.
19:00:51–19:00:53  I glance at the roadside scenic signs.
19:00:53–19:00:55  My companion asks '你要涂那个啥不？'.
19:00:55–19:00:57  I say '要。'.
19:00:57–19:01:01  I drive over speed bumps.
19:01:01–19:01:03  I look at the 明仕田园 entrance.
19:01:03–19:01:10  I follow traffic forward.
19:01:10–19:01:14  I drive the electric tricycle along the road.
19:01:14–19:01:17  I say '还没到呢，还有一点二公里呢。'
19:01:17–19:01:20  A passenger says '没事，没事。'
19:01:20–19:01:25  I navigate along the curved road.
19:01:26–19:01:27  I check the left rearview mirror.
19:01:28–19:01:33  I track the white sedan and pedestrians.
19:01:34–19:01:35  I check the dashboard navigation.
19:01:36–19:01:39  I accelerate along the open road.
19:01:40–19:01:45  I drive the electric scooter following the car.
19:01:46–19:01:50  I steer the scooter along the lane.
19:01:51–19:01:56  I accelerate along the road.
19:01:57–19:02:02  I say '很安全。'.
19:02:03–19:02:09  I maintain speed along the road.
19:02:10–19:02:15  I drive the electric scooter forward.
19:02:15–19:02:18  I say '兜风的感觉，很爽呢。'.
19:02:18–19:02:22  I watch the scooter ahead while accelerating.
19:02:22–19:02:27  I cruise along the road at 38 km/h.
19:02:27–19:02:30  I glance at the scenery on the left.
19:02:30–19:02:35  I decelerate the electric scooter approaching traffic.
19:02:35–19:02:40  I follow the white sedan ahead.
19:02:40–19:02:44  I drive behind a white sedan.
19:02:44–19:02:48  A passenger says '不是你怎么开车也要超人？来了几辆车也超人，你打？'.
19:02:48–19:02:52  A passenger says '你又该了，你四五该了，你又该了。'.
19:02:52–19:02:55  I accelerate down the straight street.
19:02:55–19:02:59  I follow the pink sidecar scooter past roadside stalls.
19:02:59–19:03:03  I glance at the side mirror and road.
19:03:03–19:03:06  I look toward a purple tricycle on the right.
19:03:06–19:03:10  I slow down behind the pink scooter.
19:03:10–19:03:13  I steer the electric tricycle.
19:03:14–19:03:16  I ask '哪比亚迪？'.
19:03:16–19:03:18  I drive forward.
19:03:19–19:03:22  I maneuver past traffic cones.
19:03:23–19:03:28  I accelerate past traffic.
19:03:29–19:03:33  I say '啊，好凉快啊！'.
19:03:34–19:03:38  I drive straight.
19:03:39–19:03:39  I look at parked cars.
19:03:40–19:03:46  I drive the electric scooter.
19:03:47–19:03:49  I glance at the digital dashboard.
19:03:50–19:03:57  I say '仙境！哇，这个烟雾缭绕，感觉好爽。'
19:03:58–19:04:04  I say '这个风也好爽，好凉快。'
19:04:05–19:04:09  I cruise along the road.
19:04:10–19:04:13  The passenger says '这车快到，我都能撞焦了。'
19:04:14–19:04:17  The passenger asks '应该没电了吧？'
19:04:18–19:04:20  The passenger asks '确定是走这里？'
19:04:21–19:04:22  I say '是。'
19:04:23–19:04:25  I say '这就是那个九千八一晚。'
19:04:26–19:04:28  The passenger says '我买一地呀！'
19:04:29–19:04:31  I steer forward along the road.
19:04:32–19:04:34  The passenger says '老师，老师啊！'
19:04:35–19:04:37  I say '很安全。'
19:04:38–19:04:39  I steer around the bend.
19:04:40–19:04:43  The passenger says '人。很吓人。转弯的时候慢一点。'
19:04:44–19:04:45  I say '好。'
19:04:46–19:04:48  The passenger says '就转弯很急。'
19:04:49–19:04:50  I say '好。'
19:04:51–19:04:53  I glance toward the karst mountains.
19:04:54–19:04:56  The passenger says '你出门上班又要红灯，然后还要拐弯。'
19:04:57–19:04:59  I watch an oncoming three-wheeler pass.
19:05:00–19:05:02  The passenger says '特别是那种车，超大声。'
