14:46:04–14:46:08  I descend the stairs.
15:21:18–15:21:20  I look at the right projection screen.
15:21:20–15:21:23  I look at an attendee.
15:21:23–15:21:34  I watch the presenter.
15:21:34–15:21:40  The lecturer says '技术底座，我们是一个文科的底子，我们要把理科的、工科的内容给它训练。那么这个训练过程，事实上是非常复杂。'.
15:21:41–15:21:45  The lecturer says '就是在大模型的训练里，这是我们自己的专业。那在这个训练的过程中呢，有很多选项，'.
15:21:46–15:21:47  The lecturer says '从最简单的RAG是最简单，我参数都不改，'.
15:21:48–15:21:59  The lecturer says '到一些所谓的微调，呃，各种各样的这个提示工程等等，就有很多选项。'.
15:22:00–15:22:02  The lecturer says '那么我们为了把这个模型做的最专，'.
15:22:03–15:22:04  The lecturer says '我们选的选项就是最。'.
15:22:04–15:22:14  I listen to the presenter explain model post-training.
15:22:15–15:22:17  I glance at the attendee in front.
15:22:18–15:22:25  I look at the presenter discussing DeepSeek training costs.
15:22:26–15:22:28  I read the right projector screen.
15:22:29–15:22:34  I watch the presenter speaking at the stage.
15:22:34–15:22:37  I listen to the speaker say '愿意从事这样的基础性的、难度比较大的工作，现在看起来呢，这个决策呢还是呃非常正确。'
15:22:38–15:22:47  I listen to the speaker say '就是这样的话，我们做很多事情内生到这儿以后，他的能力还是比较强。然后呢，智能体这条也是按照我们的领域来，算力部分也是往算力，'
15:22:48–15:22:49  I glance upward at the ceiling fixtures.
15:22:50–15:23:04  I listen to the speaker say '像有一些呃一般性的CPU加GPU，我们认为下一代的AI算力是不够的，需要专用的科学计算这些呃硬件，整个生态的建'
15:23:04–15:23:17  I watch the presentation slides.
15:23:18–15:23:19  I check my smartphone lock screen.
15:23:20–15:23:27  I view the app feed on my phone.
15:23:28–15:23:33  I look at the phone keyboard.
15:23:34–15:23:39  I look at my smartphone screen.
15:23:40–15:23:45  I read the Capstone Project recruitment title and methodology.
15:23:46–15:23:55  I read the PDE benchmarks and internship supervision details.
15:23:56–15:24:03  I review the Capstone recruitment post.
15:24:04–15:24:06  I read a Capstone Project recruitment post.
15:24:06–15:24:22  I watch the presentation on 磐石技术思路.
15:24:23–15:24:27  I view the 磐石·科学基座大模型技术栈 slide.
15:24:28–15:24:34  I view the 基座模型核心能力 slide.
15:24:34–15:24:39  The speaker says '八B的千问、三十二B的千问和六百七十一B的DC，这是我们从头开始的一个内容。'
15:24:40–15:24:43  The speaker says '拿着这个内容呢，我们把这六百五十万条数据给这个C，就是把这大的参数从头来学习，那么它能够消化所有科学的内容。'
15:24:44–15:24:53  The speaker says '这里面更细一层，以后做计算机的同事都知道，这儿我写的都是现在在大模型研究里面大家最关注的一些东西：'
15:24:54–15:25:03  The speaker says '怎么样做复杂指令的遵循，怎么样做科学代码长程推理本身的提升，等等这里面的。'
15:25:04–15:25:08  I look at the projection screen.
15:25:08–15:25:16  The speaker says '技术技术的东西是很多，怎么样去回避各种各样的 hallucination？这个呢是在大模型训练里面我必须掌握的问题。我们可以做的很深，现在可以做一百五十步长的连在一起，比较可iable的这个 execution。'
15:25:16–15:25:28  I look at the right projection screen.
15:25:28–15:25:34  The speaker says '那么还有一些其他的像我们文件最后产出的，现在是六种六大类别的文件直接都能原生的产出，所以 word、PowerPoint、poster 等等，就是比较便捷，它是真的原生的大模型理解的，可以直接。'
15:25:34–15:25:36  I watch the presentation screen.
15:25:37–15:25:40  I observe the model architecture slide.
15:25:41–15:25:43  I view the evaluation bar charts.
15:25:44–15:25:53  I examine the scientific data representations.
15:25:54–15:26:03  I watch the lecture presentation.
15:26:04–15:26:26  I listen to the speaker.
15:26:27–15:26:28  I look at the left projection screen.
15:26:29–15:26:34  I look at the right projection screen.
15:26:34–15:26:41  The lecturer says '方法论呢，就是我们把它叫做中模型。啥叫中模型呢？用 transformer，但是又对 transformer 进行深度的定制，不是直接用 transformer 架构。'
15:26:41–15:26:43  I look at the left projection screen.
15:26:43–15:26:46  The lecturer says '参数大概几十亿刚好，不能大也不能小。'
15:26:46–15:26:48  I look at the lecturer.
15:26:48–15:26:54  The lecturer says '特别是数值类的这种，还是比较 tricky 的，不能不能搞的这个模型，因为里面我们要 balance 很多各种各样的 trade off，它的 generalization 啊， flexibility 啊，'
15:26:54–15:26:58  The lecturer says '同时又不能 disturb 它里面的一些非常 subtle 的 structure。'
15:26:58–15:27:01  I look at the left projection screen.
15:27:01–15:27:04  The lecturer says '那么在这样。'
15:27:04–15:27:10  I listen to the lecturer say '这样的话呢，它这个参数的选取要求比较好。再有一个，最后一步就是咱们搞计算机的都知道，就是要用足、用好预训练的思路。'
15:27:10–15:27:21  I listen to the lecturer say '啥是预训练？大家都明白，把以前几十种不同的任务，以前所有的数据全给它统一了，拿一个一套框架从头来训。'
15:27:21–15:27:34  I listen to the lecturer say '这样的话呢，叫它各种各样的 transfer learning，各种各样的 generalization，但又不是 over generalization，也没有 over fitting，这样达到一个。'
15:27:34–15:27:39  The presenter says '那么这就是我们训练这些模型的整体一个思路。就这个思路，波做的很好，谱各种各样的。'
15:27:39–15:27:46  The presenter says '现在我们处理一套模型，都比单个谱呃做了很多年的独立的算法要好得多。'
15:27:46–15:27:55  The presenter says '就是over，就跟那个大模型是一样的，就一套确实是比最specialized的小模型做的效果都好。'
15:27:55–15:28:04  The presenter says '而且这里面呢，跟我们跟材料学家、化学家等等的做了很多的实验。'
15:28:04–15:28:09  The presenter says '发现这块还是非常有意义。一会儿场模型的 User X 老师呢，会在展开讲。'
15:28:09–15:28:15  The presenter says '这个呢是主要是从速度的角度，我们做的做了一些相关的呃整个对这块模型本身的一个一个定制化。'
15:28:15–15:28:22  The presenter says '呃，文献这块就是我们现在面向 user facing 这块儿，我们做的一个呃现在用的最多的。'
15:28:22–15:28:26  The presenter says '其实这功能还是呃比较强大。'
15:28:26–15:28:31  The presenter says '呃，我们最初我们定下来要做这个事儿是。'
