13:58:53–13:58:56  I enter the office.
14:37:46–14:37:52  I scoop a clam with risotto.
14:37:53–14:37:56  I hold a smartphone playing a video.
14:37:57–14:38:00  I eat a spoonful of seafood risotto.
14:38:01–14:38:06  I hold a spoon of risotto over the bowl.
14:38:07–14:38:11  I look at the receipt and smartphone.
14:38:12–14:38:16  I scoop seafood risotto with squid.
14:38:17–14:38:22  I lift a spoon of risotto and squid.
14:38:23–14:38:27  I scoop seafood risotto.
14:38:28–14:38:32  I lift seafood risotto.
14:38:33–14:38:36  I scoop seafood risotto.
14:38:37–14:38:39  I raise my left hand.
14:38:40–14:38:45  I look at the printed receipt.
14:38:46–14:38:52  I look at the spoon of seafood risotto.
14:38:53–14:38:57  I scoop a portion of seafood risotto.
14:38:58–14:39:03  I eat a spoonful of seafood risotto.
14:39:04–14:39:05  I look at the QR code on the Saizeriya order slip.
14:39:05–14:39:06  I say '嗯。'
14:39:06–14:39:10  I scoop a bite of seafood risotto with shrimp.
14:39:11–14:39:14  I inspect the shrimp on my spoon.
14:39:15–14:39:20  I eat the spoonful of shrimp and risotto.
14:39:21–14:39:23  I lower the spoon into the bowl.
14:39:23–14:39:28  I scoop seafood risotto.
14:39:29–14:39:33  I look out the window at the plaza.
14:39:34–14:39:39  I raise a spoonful of seafood risotto.
14:39:40–14:39:46  I scoop a shrimp from the risotto.
14:39:47–14:39:51  I say '嗯。'
14:39:52–14:39:52  I look at the risotto bowl.
14:39:53–14:39:56  I view the seafood risotto.
14:39:57–14:40:00  I scoop a shrimp.
14:40:01–14:40:02  The server delivers pizza saying '披萨。'.
14:40:03–14:40:07  I look at the risotto.
14:40:08–14:40:23  I scoop seafood risotto.
14:40:23–14:40:30  I scoop seafood risotto.
14:40:31–14:40:40  I eat the seafood risotto.
14:40:41–14:40:45  I reach for the pizza.
14:40:46–14:40:46  I lift the pizza.
14:40:47–14:40:47  I say '不是。'.
14:40:48–14:40:53  I slice the pizza with a pizza cutter.
14:40:53–14:41:03  I cut the pizza.
14:41:04–14:41:04  I put down the pizza cutter.
14:41:05–14:41:13  I pull the pizza slice to separate it.
14:41:14–14:41:15  I lift the half-pizza.
14:41:16–14:41:18  I say '算了，放弃了，我操！'.
14:41:19–14:41:21  I examine the pizza slice.
14:41:22–14:41:22  I look up at the booth wall.
14:41:23–14:41:33  I hold a pizza slice.
14:41:34–14:41:47  I hold the pizza slice with both hands.
14:41:48–14:41:49  I pull the pizza slice apart.
14:41:50–14:41:50  I say '啊！'.
14:41:51–14:41:52  I look at the cutlery organizer.
14:41:53–14:42:13  I hold a slice of pizza.
14:42:13–14:42:17  I examine the pizza slice.
14:42:17–14:42:20  I look at the cutlery organizer.
14:42:20–14:42:23  I look at the pineapple topping on the pizza slice.
14:42:23–14:42:27  I inspect a slice of pizza.
14:42:27–14:42:36  I look at the cutlery box.
14:42:36–14:42:41  I hold the pizza slice with both hands.
14:42:41–14:42:44  My companion asks '咋了？'.
14:42:44–14:42:53  I examine the pizza slice.
14:42:53–14:43:00  I hold a slice of pizza.
14:43:01–14:43:02  I place the pizza slice onto the plate.
14:43:03–14:43:06  I look at the seafood risotto.
14:43:07–14:43:22  I scoop seafood risotto with a spoon.
14:43:23–14:43:27  I position my spoon over the seafood risotto.
14:43:28–14:43:31  I scoop seafood risotto with squid.
14:43:32–14:43:35  I observe the remaining seafood risotto.
14:43:36–14:43:40  I lower the empty spoon over the risotto.
14:43:41–14:43:47  I scoop another spoonful of seafood risotto.
14:43:48–14:43:53  I lift the spoonful of seafood risotto.
14:43:53–14:43:56  I look at the seafood risotto plate.
14:43:56–14:44:01  I pick up a slice of pizza.
14:44:01–14:44:07  I look at the cutlery box.
14:44:07–14:44:16  I look at the receipt.
14:44:16–14:44:22  A staff member says '哪一位呢？'.
14:44:23–14:44:26  I look at the order receipt.
14:44:27–14:44:32  I inspect the pizza crust.
14:44:33–14:44:40  I look at the table.
14:44:41–14:44:44  I look at the pizza slice.
14:44:45–14:44:47  I pick up the pizza slice.
14:44:48–14:44:52  I inspect the pizza slice.
14:44:53–14:44:55  I inspect the pizza slice.
14:44:56–14:44:57  I raise my left hand.
14:44:58–14:45:05  I look across the table.
14:45:06–14:45:07  I look at the receipt.
14:45:08–14:45:10  I inspect the pizza toppings.
14:45:11–14:45:13  I glance at the side plate.
14:45:14–14:45:17  I look at the receipt.
14:45:18–14:45:21  I inspect the pizza toppings.
14:45:22–14:45:23  I look at the booth seating.
14:45:23–14:45:26  I look across the dining table while holding a pizza slice.
14:45:27–14:45:32  I examine the QR code on the order receipt.
14:45:33–14:45:36  I inspect the toppings on the pizza slice.
14:45:37–14:45:41  I glance at the table and cutlery container.
14:45:42–14:45:44  I check the time on my illuminated smartphone lock screen.
14:45:45–14:45:48  I look back at the pizza slice.
14:45:49–14:45:52  I look at the cutlery tray and receipt.
14:45:53–14:45:59  I look at the order receipt.
14:46:00–14:46:02  I examine the pizza slice.
14:46:03–14:46:09  I look at the table.
14:46:10–14:46:14  I look at the cutlery container.
14:46:15–14:46:22  I look at the order receipt.
14:46:23–14:46:27  I look at the paper order receipt slip.
14:46:27–14:46:30  I glance at the neighboring booth.
14:46:30–14:46:44  I look at the cutlery tray and order slip.
14:46:44–14:46:49  I inspect the pizza slice.
14:46:49–14:46:50  I say '嗯。'.
14:46:50–14:46:53  I look at the QR code on the receipt slip.
14:46:53–14:47:04  I hold a slice of pizza.
14:47:05–14:47:08  I eat the pizza slice.
14:47:09–14:47:11  I hold the pizza crust.
14:47:12–14:47:18  I stir the tomato rice with a spoon.
14:47:19–14:47:20  I look across the dining table.
14:47:21–14:47:22  I pick up the pizza cutter.
14:47:23–14:47:26  I place the pizza wheel cutter onto the plate.
14:47:26–14:47:31  I scoop seafood risotto and a shrimp.
14:47:31–14:47:34  I eat the spoonful of seafood risotto.
14:47:34–14:47:41  I gather the remaining seafood risotto.
14:47:41–14:47:43  I eat a spoonful of seafood risotto.
14:47:43–14:47:49  I assemble another spoonful of risotto.
14:47:49–14:47:53  I eat the spoonful of seafood risotto.
14:47:53–14:48:04  I scoop remaining seafood risotto with my spoon.
14:48:05–14:48:10  I gather scattered rice grains on the plate.
14:48:11–14:48:16  I scoop and eat another bite of risotto.
14:48:17–14:48:22  I gather the last grains of risotto with my spoon.
14:48:23–14:48:26  I eat the remaining risotto.
14:48:27–14:48:38  I finish eating and rest.
14:48:39–14:48:40  I look at the Ossobuco wall painting.
14:48:41–14:48:42  I pick up my smartphone.
14:48:43–14:48:49  I watch the Bilibili roast duck vlog.
14:48:50–14:48:50  I rotate my phone to landscape.
14:48:51–14:48:52  I stretch and say '啊。'
14:48:53–14:48:58  I watch a video about preparing spicy cup noodles.
14:48:59–14:49:07  I watch the creator eat spicy cup noodles.
14:49:08–14:49:15  I watch the creator eat Beijing roast duck.
14:49:16–14:49:22  I watch the car window scenery and the creator in the video.
14:49:23–14:49:29  I watch a Bilibili vlog by 咸鱼梦想家vlog.
14:49:30–14:49:34  I rotate my phone to portrait mode.
14:49:35–14:49:37  I open the 咸鱼梦想家vlog profile page.
14:49:38–14:49:42  I select the video '头发剪秃了，小伙花40元在车里吃麻辣烫和炸串'.
14:49:43–14:49:48  I watch the vlog video '头发剪秃了，小伙花40元在车里吃麻辣烫和炸串'.
14:49:49–14:49:52  I fast-forward the Bilibili vlog.
14:49:53–14:49:59  I watch a Bilibili vlog.
14:49:59–14:50:02  I scroll the Bilibili recommendation feed.
14:50:02–14:50:11  I read the Bilibili card about 6G.
14:50:11–14:50:16  I browse Bilibili recommendations about rocket recovery.
14:50:16–14:50:21  I examine the Bilibili video card about Yangtze flood control.
14:50:21–14:50:23  I open the Bilibili video about Yangtze flood control.
14:50:23–14:50:29  I watch a Bilibili video about Yangtze flood season in portrait mode.
14:50:30–14:50:32  I rotate my phone to landscape full-screen.
14:50:33–14:50:37  I watch Liulan Reservoir dam collapse footage in the video.
14:50:38–14:50:43  I watch floodwaters and firefighter rescue footage in the video.
14:50:44–14:50:47  I watch an expert interview and satellite weather maps in the video.
14:50:48–14:50:49  I watch CCTV-2 news of submerged cars in Dazhou.
14:50:50–14:50:52  I read the Ministry of Water Resources flood announcement in the video.
14:50:53–14:50:56  I watch news clips about reservoir flood discharge.
14:50:57–14:50:59  I watch the typhoon forecast map.
14:51:00–14:51:06  I watch the host address questions about flood control.
14:51:07–14:51:09  I watch aerial footage of the Three Gorges Dam.
14:51:10–14:51:15  I watch the host introduce Six Reservoirs Joint Operation.
14:51:16–14:51:17  I view the '中国防洪 没有简单模式' title screen.
14:51:18–14:51:22  I watch the host explain China's flood control challenges.
14:51:23–14:51:31  I watch a Bilibili documentary about China's rainfall distribution.
14:51:32–14:51:36  I watch a video analogy about intense rainfall.
14:51:36–14:51:40  I watch flood damage footage in the documentary.
14:51:41–14:51:45  I watch Yangtze River geographic statistics on the 3D map.
14:51:46–14:51:52  I watch the Yangtze upper reaches terrain animation towards Three Gorges.
14:51:53–14:51:57  I watch a video on the Three Gorges Dam terrain.
14:51:58–14:52:01  I watch the video host explain flood dynamics.
14:52:02–14:52:05  I watch the video map of the Jingjiang river section.
14:52:06–14:52:07  I watch footage of surging floodwaters.
14:52:08–14:52:11  I watch the video explanation of '万里长江 险在荆江'.
14:52:12–14:52:15  I watch historical footage of the 1998 flood.
14:52:16–14:52:23  I watch archival footage of soldiers fighting floodwaters.
14:52:23–14:52:26  I watch a Bilibili video about Yangtze River flood prevention.
14:52:27–14:52:33  I watch Yangtze River economic belt footage.
14:52:34–14:52:35  I watch the Three Gorges Dam title screen.
14:52:36–14:52:39  I read 1917 Yangtze River flood slides.
14:52:40–14:52:44  I watch historical flood defense explanations.
14:52:45–14:52:48  I watch the flood return period explanation.
14:52:49–14:52:52  I watch flood probability graphics.
14:52:53–14:52:58  I watch the flood defense video.
14:52:59–14:53:02  I watch the urban flooding and levee discussion.
14:53:03–14:53:06  I review the historical Jingjiang flood level chart.
14:53:07–14:53:10  I watch the Three Gorges Dam introduction.
14:53:11–14:53:13  I view the 175m storage level infographic.
14:53:14–14:53:17  I examine the dam flood capacity diagram.
14:53:18–14:53:20  I watch the West Lake volume comparison.
14:53:21–14:53:22  I watch aerial footage of the dam.
14:53:23–14:53:29  I watch a Bilibili video on Three Gorges Dam flood retention.
14:53:30–14:53:33  I watch an infographic on dam water volume.
14:53:34–14:53:36  I watch historical footage of the 1998 flood.
14:53:37–14:53:41  I watch CCTV news footage of the 2020 flood response.
14:53:42–14:53:46  I watch CCTV-13 comparison of 2020 and 1998 flood peaks.
14:53:47–14:53:49  I watch the host discuss 2020 flood management.
14:53:50–14:53:53  I watch CCTV footage of flood emergency command.
14:53:53–14:54:00  I watch a Bilibili video about Three Gorges Dam flood reduction.
14:54:00–14:54:07  I watch the Bilibili video host explain flood defense standards.
14:54:07–14:54:12  I watch the Bilibili video display the Three Gorges Reservoir map.
14:54:12–14:54:16  I watch the Bilibili video showcase dam spillway flood discharge.
14:54:16–14:54:23  I watch the Bilibili video explain pre-flood reservoir capacity management.
14:54:23–14:54:25  I watch a Bilibili video about '六库联调 1+1>2的防洪智慧'.
14:54:26–14:54:27  I glance at the empty plate.
14:54:28–14:54:29  I watch the presenter on my phone.
14:54:30–14:54:31  I look out the window.
14:54:32–14:54:33  I watch the presenter say '当然不是真的复制三峡'.
14:54:34–14:54:36  I watch the 3D dam map animation.
14:54:37–14:54:40  I watch the presenter explain the six cascade hydropower stations.
14:54:41–14:54:49  I watch the Yangtze River cascade dams animation.
14:54:50–14:54:51  I read the flood control storage capacity statistic.
14:54:52–14:54:53  I watch the joint dispatch center graphic.
14:54:53–14:55:02  I watch the Bilibili video on Yangtze River flood capacity.
14:55:03–14:55:06  I watch the presenter introduce a water cup demonstration.
14:55:07–14:55:14  I watch the video demonstrate upstream rain and controlled pouring.
14:55:15–14:55:19  I watch the video introduce scenario two with downstream rain.
14:55:20–14:55:23  I watch the presenter explain holding back upstream water.
14:55:23–14:55:26  I watch a Bilibili science video.
14:55:27–14:55:31  I watch the video explanation about staggered flood peaks.
14:55:32–14:55:37  I watch the upstream water retention demonstration.
14:55:38–14:55:42  I watch the batched flood discharge animation.
14:55:43–14:55:46  I watch the traffic congestion analogy.
14:55:47–14:55:49  I watch the martial arts force deflection demonstration.
14:55:50–14:55:53  I watch the 2024 Dongting Lake flood case study.
14:55:53–14:56:01  I watch a Bilibili video about the Tuanzhou Dike breach.
14:56:01–14:56:08  I watch news clips about Yangtze River Flood No. 2.
14:56:08–14:56:12  I watch the presenter explain flood volume and reservoir retention.
14:56:12–14:56:17  I examine the reservoir water level diagram.
14:56:17–14:56:23  I watch footage of flood risks to Chongqing and reservoir tail lands.
14:56:23–14:56:25  I watch a Bilibili video about flood control.
14:56:26–14:56:28  I watch the video explanation of six-reservoir joint dispatch.
14:56:29–14:56:32  I watch CCTV 13 news footage and 3D dam animations.
14:56:33–14:56:38  I examine the upstream reservoir cascade schematic and flood retention data.
14:56:39–14:56:41  I watch dam flood discharge footage.
14:56:42–14:56:48  I watch the presenter describe the 9000 m³/s flood peak reduction.
14:56:49–14:56:50  I watch Three Gorges Dam flood discharge footage.
14:56:51–14:56:52  I examine the Three Gorges reservoir dispatch hydrograph.
14:56:53–14:56:56  I watch the Three Gorges Reservoir dispatch infographic.
14:56:57–14:57:01  I watch river water level footage.
14:57:02–14:57:07  I watch Three Gorges Dam discharge footage.
14:57:08–14:57:10  I watch flood retention statistics.
14:57:11–14:57:16  I watch the 3D cascade reservoir simulation.
14:57:17–14:57:19  I watch flood protection outcome animations.
14:57:20–14:57:23  I watch the presenter discuss reservoir scheduling.
14:57:23–14:57:30  I watch a Bilibili video about Yangtze flood control.
14:57:30–14:57:32  I rotate my phone to portrait mode.
14:57:32–14:57:42  I scroll through the Bilibili recommendation feed.
14:57:42–14:57:44  I tap the molten salt power plant video card.
14:57:44–14:57:53  I watch the Bilibili video about the Suzhou power plant.
14:57:53–14:58:00  I watch a Bilibili documentary.
14:58:00–14:58:02  I tap fullscreen on the video.
14:58:02–14:58:10  I watch the power grid conflict footage.
14:58:11–14:58:17  I watch the molten salt project introduction.
14:58:18–14:58:22  I monitor the grid load curve explanation.
14:58:23–14:58:28  I watch a Bilibili video about molten salt heat storage.
14:58:29–14:58:34  I watch the molten salt peak discharge demonstration.
14:58:35–14:58:40  I watch the generation and heating decoupling explanation.
14:58:41–14:58:49  I adjust my smart glasses.
14:58:50–14:58:52  I watch the engineer interview on core equipment.
14:58:53–14:58:57  I watch a news video about molten salt energy storage.
14:58:58–14:59:00  I watch a molten salt chemical diagram on my phone.
14:59:01–14:59:02  I watch a 3D power plant model animation.
14:59:03–14:59:08  I watch a reporter introducing the molten salt storage facility.
14:59:09–14:59:13  I watch heat supply statistics on my phone.
14:59:14–14:59:16  I watch renewable energy grid accommodation statistics on my phone.
14:59:17–14:59:19  I watch solar farm footage showing carbon reduction stats.
14:59:20–14:59:22  I watch the integrated energy hub overview on my phone.
14:59:23–14:59:27  I watch a Bilibili video about a molten salt thermal storage project.
14:59:28–14:59:36  I scroll through the Bilibili recommendation feed.
14:59:37–14:59:37  I return to the home screen.
14:59:38–14:59:43  I walk toward the restaurant exit.
14:59:44–14:59:47  I check my lock screen notifications.
14:59:48–14:59:52  I review climbing messages in WeChat with User X.
14:59:53–14:59:55  I push open the door.
14:59:55–14:59:59  I tap on the Dianping climbing deal card.
14:59:59–15:00:02  I wait for the deal page to load.
15:00:02–15:00:12  I review the GOAT Climbing Club deal details.
15:00:13–15:00:16  I read the purchase rules.
15:00:16–15:00:18  I notice the store distance is 20.38 kilometers.
15:00:18–15:00:20  I say '二十公里吗？我操！'
15:00:20–15:00:22  I open the climbing gym store page.
15:00:23–15:00:27  I check the map for GOAT攀岩俱乐部.
15:00:27–15:00:30  I tap the Dianping link for 岩时攀岩.
15:00:30–15:00:33  I tap the address for 岩时攀岩(西岸梦中心店).
15:00:33–15:00:39  I zoom out on the map to 岩时攀岩(西岸梦中心店).
15:00:39–15:00:41  I select 高德地图 from the app menu.
15:00:41–15:00:47  I check the public transit route on Amap.
15:00:47–15:00:51  I say '妈的，一个半小时！'.
15:00:51–15:00:53  I examine the public transit route on Amap.
15:00:53–15:00:55  I tap the back button on the navigation route for 岩时攀岩.
15:00:56–15:00:57  I view the WeChat chat with User X.
15:00:58–15:01:00  I observe the plaza and salon.
15:01:01–15:01:07  I read the GOAT攀岩俱乐部 group-buying deal details on Dianping.
15:01:08–15:01:12  I browse the GOAT攀岩俱乐部 merchant page on Dianping.
15:01:13–15:01:15  I select 高德地图 to open the location.
15:01:16–15:01:17  I open AutoNavi Map.
15:01:18–15:01:22  I review the destination options on AutoNavi Map.
15:01:23–15:01:30  I check the Amap transit route.
15:01:31–15:01:33  I view the GOAT Climbing Club destination details on Amap.
15:01:34–15:01:34  I check the Rocktime Climbing mini-program card in WeChat.
15:01:35–15:01:40  I send 'goat那个？' to User A.
15:01:41–15:01:41  I read User A's message '看看去哪个馆方便一点'.
15:01:42–15:01:42  I observe the outdoor plaza.
15:01:43–15:01:45  I switch apps to Amap.
15:01:46–15:01:48  I check the transit route on Amap.
15:01:49–15:01:52  I view the Shanghai map on Amap.
15:01:53–15:01:57  I check Amap search history.
15:01:58–15:02:00  I say '不是又出什么风了？操！'.
15:02:01–15:02:03  I view Meituan and switch back to Amap.
15:02:04–15:02:09  I type 'dfa' in the Amap search bar.
15:02:10–15:02:13  I select '东方麒麟·潘多拉SALON(唐镇恒生万鹏店)'.
15:02:14–15:02:17  I examine the salon location on Amap.
15:02:18–15:02:22  I walk towards the plaza entrance while checking Amap.
15:02:23–15:02:24  I check the map navigation.
15:02:24–15:02:28  I look at the advertising kiosk.
15:02:29–15:02:32  I view the salon building.
15:02:33–15:02:36  I look at the Saizeriya entrance.
15:02:37–15:02:43  I read the window posters.
15:02:44–15:02:46  I walk toward the building entrance.
15:02:47–15:02:52  I check the map navigation.
15:02:53–15:02:59  I check the map navigation on my phone.
15:03:00–15:03:02  I look up at the restaurant billboard.
15:03:03–15:03:05  I look at the window poster and dining area.
15:03:06–15:03:10  I look at the Qixintian logo and wall advertisement.
15:03:11–15:03:15  I inspect the promotional easel signs outside the entrance.
15:03:16–15:03:19  I examine the seafood topping poster on the column.
15:03:20–15:03:22  I look ahead down the promenade toward a snack kiosk.
15:03:23–15:03:25  I inspect the 阿甘锅盔 menu.
15:03:25–15:03:27  I say '我困，有点想吃。'
15:03:28–15:03:30  I view the 周大福 storefront.
15:03:31–15:03:33  I say '我操，好困啊！'
15:03:33–15:03:36  I gaze at the distant buildings.
15:03:37–15:03:41  I approach the directional monument.
15:03:42–15:03:45  I read the 惟德堂 banners.
15:03:45–15:03:49  I say 'Tiffany is speaking. I don't like that.'
15:03:50–15:03:52  I view the skybridge and store signage.
15:03:53–15:03:56  I walk through the outdoor mall plaza.
15:03:56–15:03:59  I look at the wall restaurant advertisements.
15:04:00–15:04:03  I look at the circular cutout sculpture sign.
15:04:04–15:04:06  I raise my hand while walking.
15:04:07–15:04:10  I observe the 85°C hoarding and shop signs.
15:04:11–15:04:14  I gaze toward the Decathlon entrance.
15:04:15–15:04:17  I notice [redacted content] beside the bushes.
