18:43:19–18:43:21  I say '那有可能是我的吧，MZX，对，那有可能，那有可能是'.
19:20:57–19:21:15  I say '啊，推荐我吃黄油吐司面包，因为之前我标记过自己的数据，把一天的所有事情标一个情绪分，从零到十，给他了一个很高的分数，所以他推荐我做个饭或者做这个来提高我的情绪指标。'
19:21:16–19:21:18  I say '哦。'
19:21:19–19:21:21  My colleague says '还可以，还可以，不错。那标数据要标很多吗？'.
19:21:22–19:21:25  I say '之前标了有一百多条吧。'.
19:21:26–19:21:28  My colleague says '一百多条。标了标了几天呢？'.
19:21:29–19:21:32  I say '一周吧。一周的数据。'.
19:21:33–19:21:42  I say '就是有一个手机，然后每天不定时的弹一个消息，让你汇报现在在做啥，情绪怎么样，就这样。'.
19:21:43–19:21:45  My colleague says '不错。这可以。'.
19:21:46–19:21:48  I read the POV Rollout Viewer document.
19:21:49–19:21:50  I ask '有潜力吗？这个这个方向。'
19:21:51–19:21:54  I give a thumbs up.
19:21:55–19:21:57  I point at the text box and say '然后上面还有一个文本框，就是它可能caption不准，所以我要手手手动输一些实际发生了什么。'
19:21:58–19:22:04  I examine the POV Rollout Viewer interface.
19:22:05–19:22:18  I type while saying '我是自己自己再提交一点东西。对。'
19:22:19–19:22:21  I say '可以。'
19:22:22–19:22:27  I scroll through POV Rollout Viewer.
19:22:28–19:22:31  I say '干了些什么新的事情？'
19:22:32–19:22:36  I say '操，真没说没干什么新的事情。'
19:22:37–19:22:42  I read LVLM interpretation notes in Feishu.
19:22:43–19:22:48  I scroll through Feishu research notes.
19:22:49–19:22:54  I say '哦，今天这这两天我感觉可以给你分享一下，对你以后也有用。' to my colleague.
19:22:54–19:22:56  I look at my colleague.
19:22:56–19:23:01  I say '就是怎么debug，怎么debug这个VLM模型啊？' to my colleague.
19:23:01–19:23:05  I say '你输出不同token，就是为什么加图以后这个注意力会变差？怎么debug？' to my colleague.
19:23:05–19:23:07  I glance at my colleague.
19:23:07–19:23:11  I say '它这个东西，一个是做这个梯度注意力图，' to my colleague.
19:23:11–19:23:15  I say '就是把你的输出token对你的图做这个求一个梯度，' to my colleague.
19:23:15–19:23:17  I point at the laptop screen.
19:23:17–19:23:19  I say '然后把这个图的梯度拿这个颜色标出来，就是梯度线。' to my colleague.
19:23:19–19:23:24  The colleague says '显出地图，地图显出的地方就是这个地方对于你的预测图感比较显、比较有用的地方。然后你可以用来第八个，然后第二个是啊，就是注意力比例比例图'.
19:23:24–19:23:26  I glance at the desk.
19:23:26–19:23:33  The colleague says '就是你输入图感和这个图像图感做这个KV KV点击以后的那个注意力值，对每一个图片做一个'.
19:23:33–19:23:40  The colleague says '然后把它分析出来一个注意力向量图来分析'.
19:23:40–19:23:43  The colleague says '这个输入图感有没有在关注这个图在哪个地方'.
19:23:43–19:23:49  I look at the laptop.
19:23:49–19:23:51  The colleague asks '我要我要怎么去做这个这个点击的？'
19:23:52–19:24:01  I say '啊，就是就是你这个你得手动抽取，有一个现成的工具是这个自自接调用的这个 LVLM interpretation，有一个现成的工具，'
19:24:02–19:24:09  I say '或者你就手动的把这个注意力层的每一个的这个点这个数值提出来，然后让 A A 给你做一个，'
19:24:10–19:24:18  I say '然后这个地图图可以用这个 caption，你以后要用你可以试一下。'
19:24:19–19:24:25  I say '啊，这个还没做呢，然后这也没做呢，然后这要做考试，啊，数学考，数学考，出去之前。'
19:24:26–19:24:34  I say '现在跑我什么东西了？跑我什么模型了？现在？现在跑我什么模型？还是跑我有没有结果？'
19:24:35–19:24:42  I view the action caption logs.
19:24:43–19:24:48  I say 'Magic Video啊，EgoButler，EgoAgent，EgoAgent，还有什么？'
19:24:49–19:24:52  My colleague says '中国版的，我忘了。'
19:24:52–19:24:55  I discuss Video Jet Flash with my colleague.
19:24:55–19:24:57  My colleague says '对，就这四个，一共现在跑几个？'
19:24:57–19:25:03  My colleague says '加上B元的，你说加上B元模型还是什么？十个了吧？二点十个。'
19:25:03–19:25:08  My colleague asks '有没有表格？什么？有没有表格？'
19:25:08–19:25:19  I hear '表格有之前的那个表格，还是之前那个表格？'
19:25:19–19:25:21  I scroll through finetuning evaluation tables in Feishu Wiki.
19:25:22–19:25:25  I say '好早之前，好早上个月的。'
19:25:26–19:25:34  I say '我那表格在哪呀？'
19:25:35–19:25:41  I say '还有这个表格。'
19:25:42–19:25:48  I say '对。'
19:25:49–19:25:52  I view the Feishu model evaluation table.
19:25:52–19:26:01  Colleague says '合并layer这个部分，因为你这两个模型不一样，两个模型不一样。一个是DeepSeek，一个是Open。'
19:26:01–19:26:05  I look at my colleague.
19:26:06–19:26:13  I say '哦，对我现在还在用那个露西亚那个数据呢，其他人我就用DeepSeek了。'
19:26:14–19:26:18  I inspect the benchmark table on my laptop.
19:26:19–19:26:23  I listen to my colleague say '这个这个也是，就这些都是对吧？一个、两个、三个、四个、啊'.
19:26:24–19:26:28  I listen to my colleague say '一个、两个，这个联盟，对，这个是调A、B、I吗？'.
19:26:29–19:26:35  I listen to my colleague say '不是，啊，好像是，好像是，对，剧本是。'.
19:26:36–19:26:38  I observe a hand blocking the view.
19:26:39–19:26:48  I listen to my colleague say '加兵上去，开始搞。美美哪个？对对对。'.
19:26:49–19:26:52  Colleague says '开始搞。那现在一共多少个了？'.
19:26:52–19:26:56  Colleague asks '这个怎么？这个有没有？'.
19:26:56–19:27:01  I say '加起来差不多有十个吧。'
19:27:01–19:27:07  Colleague says '这个有点重复统计的。'.
19:27:07–19:27:10  I say '差不多。啊。对，差不多。对。'
19:27:10–19:27:13  Colleague says '那我到时候会列个类似的给你。'.
19:27:13–19:27:18  I look at colleague.
19:27:19–19:27:23  Colleague says '咱可以讨论一下，我之前也列了一个类似的，它有好多重复的，有一堆重复的。'
19:27:24–19:27:30  I scroll through the Feishu document.
19:27:31–19:27:34  Colleague says '啊，你好像跑，想跑也行，也行。'
19:27:35–19:27:45  I examine the benchmark chart and candidate models in the document.
19:27:46–19:27:48  I say '那不就那不就炸了？'
19:27:49–19:27:53  I say '啊，行吧，统一换成一个木凯元木带也可以。看到这个，看到这个贡献本身就是贡献一个框架，又不是贡献模型。' to my colleague.
19:27:54–19:27:58  I say 'OK，还有这个啊，这个对，然后就没了。之前我就列了这么多。'
19:27:59–19:28:06  I say '不知道我怎么自己列给你一个。他给我列的是Word MM评测的那个，Word MM和谁比？'
19:28:07–19:28:13  I say '我就从上面筛的，我我上面筛了好多不是特别行的，'
19:28:14–19:28:18  I say '一个是要不就特别老，要么就是有新版的比它在，就是同一个。'
19:28:19–19:28:23  I say '个团队游戏版的更新版本的把泰迪替代了，或者说有一个后续的作品，然后就选最新的那个。' to my colleague.
19:28:24–19:28:35  I say '这个结婚家族美食的结婚三点五九B，结婚三点六二七B，' to my colleague.
19:28:36–19:28:44  I say '还有还有一些什么长视频的，比方说秘秘宝镖。' to my colleague.
19:28:45–19:28:48  I look at my colleague and the desk.
19:28:49–19:28:57  I view the evaluation document.
19:28:58–19:29:06  Colleague says 'MiMo可以试一下，我没试过MiMo。'
19:29:07–19:29:18  I review the document while listening.
19:29:19–19:29:26  User X says 'IG非常火的MM都是IC的Agent那个方法的，然后就这两个方向'.
19:29:26–19:29:29  I say '不是IG和Agent不是在一起的吗？'.
19:29:29–19:29:32  User X says '算是在一起了。对。'.
19:29:32–19:29:42  User X says '那是你要简单IG，IG比较简单的方法，就是直接这直接两招，直接检直接检索，然后召回。但是像Membrane的方法可能还要别别的东西'.
19:29:42–19:29:47  I say '那就是没有Agent的，纯粹根据context来检索，是这样吗？'.
19:29:47–19:29:49  User X says '对。'.
19:29:49–19:29:55  My colleague says '那个也不用测呀，就是他反正效果也肯定也不好，不如微针的，也没人看。'
19:29:55–19:29:58  My colleague says '可以。'
19:29:58–19:30:03  My colleague says 'cosmos cosmos三三三，没事。可以。'
19:30:03–19:30:10  My colleague says 'cosmos三三十六b，一加L四点九A。'
19:30:10–19:30:19  My colleague says '那我反正最近可能有点东西降温降温三点五。'
19:30:19–19:30:25  I listen to my colleague.
19:30:25–19:30:30  The colleague says '跑个六星啊，肯定是全部跟你要对接。'
19:30:30–19:30:36  I say '我这些都只是多少个数据？五十个点的，非常小。'
19:30:36–19:30:40  I say '就是只有五十个评测点。'
19:30:40–19:30:44  I say '对啊，很快，五十个评测。'
19:30:44–19:30:48  I scroll the document.
19:30:49–19:30:53  I review the report as colleague says '四点，而且，对，非常，而且只跑了第一的，这些都是跑了第一的。'
19:30:54–19:30:56  I say '对，对，都是第一的，随便挑了五十个评测点。'
19:30:57–19:31:01  I say '对啊，肯定不够啊！但是已经没有钱了，'
19:31:02–19:31:08  I say '那得跟老师说，看老师有没有花API的钱了，看他愿意花多少鬼吧。'
19:31:09–19:31:14  I look at the benchmark numbers on screen.
19:31:15–19:31:19  I examine the table as colleague says '还行吧。'
19:31:19–19:31:24  I view the evaluation table.
19:31:24–19:31:32  I listen to my colleague discuss training strategies.
19:31:32–19:31:38  I observe my colleague pointing at the table.
19:31:38–19:31:43  I review the data count row.
19:31:43–19:31:49  I confirm the dataset contains 50 samples.
19:31:49–19:31:52  I say "对啊，这么少？" to User A.
19:31:52–19:31:55  User A says "对啊，就很少。对啊。对啊。太少了。"
19:31:55–19:31:59  I say "我也觉得，而且肯定不稳定啊。起码要一千个吧。" to User A.
19:31:59–19:32:02  User A says "啊。对。"
19:32:02–19:32:06  I say "要不你再筛一筛，筛一千个出来。" to User A.
19:32:06–19:32:10  User A says "我就不用筛，随便随机就行。"
19:32:10–19:32:13  I say "不行。" and User A asks "为啥？"
19:32:13–19:32:16  User A says "因为那个东西比较简单嘛。"
19:32:16–19:32:19  I say "比较简单。" to User A.
19:32:19–19:32:23  I discuss benchmark sample size with my colleague.
19:32:23–19:32:26  I say '哎不用难度，随随机就行。'
19:32:26–19:32:31  I listen to my colleague explaining annotation criteria.
19:32:31–19:32:35  I say '那我没标的第一天的吗？'
19:32:35–19:32:41  My colleague clarifies sample data dates.
19:32:41–19:32:45  I say '一共有七天是吧？'
19:32:45–19:32:48  My colleague says '二百除以七，匀一下。'
19:32:49–19:32:51  I view the benchmark comparison table.
19:32:51–19:32:54  Colleague says '也可以，选几个比较有有价值的。特别是，我觉得你不要太随机'.
19:32:54–19:32:58  I examine the model evaluation data table.
19:32:58–19:33:02  Colleague says '我觉得你精心挑选，选择哪个神，并且把理由讲得好点，这就是一个创新点。'.
19:33:02–19:33:05  I inspect the table as colleague points.
19:33:05–19:33:12  Colleague says '真的，你不要太随机，太随机的话，你这个论文就就不太顺利了。'.
19:33:13–19:33:17  I look at the laptop keyboard.
19:33:17–19:33:19  I look toward the desk items.
19:33:19–19:33:23  I say '相信我，一定要有，一定要有理由。' to my colleague.
19:33:24–19:33:29  I say '为什么要选这些样本出来？因为这些样本能够区分模型的能力。' to my colleague.
19:33:30–19:33:39  I say '然后你可以，你可以用一下 Ecolife QA 或者 Ecolife R Web，' to my colleague.
19:33:40–19:33:48  I ask my colleague '那边有这个问题吗？'.
19:33:49–19:33:51  I say '习惯性问题吗？'.
19:33:51–19:33:56  The colleague says '对，还有他们把他们上面那些什么卖便宜晒的，然后什么养生养生的，去晒一些东西，晒一些有价值的东西出来，也不是不行。'.
19:33:57–19:34:04  I say '不管怎么晒的，我觉得，我建议，我觉得不要，我觉得不要随便晒。'.
19:34:05–19:34:08  I say '你要是随便晒，你从里面，你从我那些名字随便randomly，slag。'.
19:34:09–19:34:14  I examine the benchmark table.
19:34:15–19:34:19  I look at the colleague.
19:34:19–19:34:27  I listen to my colleague discussing motion quality.
19:34:28–19:34:31  I examine the benchmark table.
19:34:32–19:34:39  I listen to the explanation on motion quality control.
19:34:40–19:34:42  I adjust my arm while listening.
19:34:43–19:34:48  I review the laptop document sidebar.
19:34:49–19:34:52  I view the evaluation table.
19:34:52–19:34:54  I say '行吧。'
19:34:54–19:35:05  I say '哦，我要找几个这个有代表性的泛化测试的例子，呵呵。'
19:35:05–19:35:10  I scroll the document.
19:35:10–19:35:18  I read research notes on VLM generalization.
19:35:19–19:35:21  I look at research notes on my laptop.
19:35:21–19:35:29  I say '你那个不一样，就是说他在前几天学到了一个习惯，然后我用这些数据去反推以后，后面的天能不能反画出来？' to my colleague.
19:35:29–19:35:39  I say '比如说前几天他做某一个，比如说就是拿我自己，我每次到楼底下之前，我就会拿出手机，然后解锁电动车，来准备加油骑车，' to my colleague.
19:35:39–19:35:48  I say '这是一个习惯性动作，就是这种，我想找他的这种例子。' to my colleague.
19:35:49–19:35:50  I look at my laptop screen.
19:35:50–19:35:54  The colleague asks 'Happy Insai，不是就可以了？Happy Insai，Happy Insai，不是有个Q&A类型的Happy Insai吗？'
19:35:54–19:36:00  I say '对，有Happy Insai。那个我之前看过，啊，有价值的比较少，是因为它的都是重复的、重复的问题类型。'
19:36:01–19:36:07  I say '比如说，这个人在午饭喜欢吃什么？加在什么下午三点喜欢干、最喜欢做什么事情？'
19:36:08–19:36:18  I say '然后就是所有。'
19:36:19–19:36:24  I say '的人啊，都是同的相似的问题，然后对于那些少数有价值的问题，啊，有一两个我觉得还可以，我当时记下来了，现在忘了，啊，就很少，但是是有一些有用。'
19:36:25–19:36:31  I view the document outline.
19:36:32–19:36:39  I say '我帮你翻翻优先级，那个优先级，'
19:36:40–19:36:44  I say '优先把把这个卢西亚的题我先弄啊。'
19:36:45–19:36:48  I say '卢西亚的题我先弄好。弄一千个。'
19:36:49–19:36:53  I say '我感觉，如果只要有露西亚的话，就把露西亚的题目的话，只有五十个题目，实在是太少了。' to my colleague.
19:36:54–19:36:57  I say '对呀，我真我只能这样觉得。可以，我觉得没问题。' to my colleague.
19:36:58–19:37:02  I say '然后，然后再打开，然后，然后，我现在都这个好弄，' to my colleague.
19:37:03–19:37:07  I say '等一下，等一下，我先写一下。' to my colleague.
19:37:08–19:37:18  I scroll through the Feishu document.
19:37:19–19:37:30  I review Feishu notes on VLM interpretability.
19:37:31–19:37:46  I type '不同粒度 选代表性动作 1000' into Feishu.
19:37:47–19:37:49  I review the inserted text.
19:37:49–19:37:52  Colleague says '还有啥呀？哎，这个很快，这个估计是半天吧。'
19:37:53–19:37:56  Colleague says '对，主要是主要是你要想好，这样做的理由是什么？为什么要选择这个动作？'
19:37:57–19:38:05  Colleague says '理由一定要想清楚，一定要有卖点。就是这个动作有什么样的价值？能够有什么样的？'
19:38:06–19:38:10  Colleague says '反正那些这个动作一定要值得值得研究。'
19:38:11–19:38:18  I review the Feishu document notes.
19:38:19–19:38:25  I review Feishu notes on laptop.
19:38:25–19:38:37  I read document bullet points.
19:38:37–19:38:41  I watch colleague point at screen.
19:38:41–19:38:48  I look toward opposite desk.
19:38:49–19:38:53  I listen to my colleague.
19:38:54–19:39:01  Colleague says '对，不是因为到时候你在报告的时候，在表格上面报告肯定要跟别人别的模型再比一下嘛，准确吗？还有就是你，比方说你这边这几个模型，它性能列出来之后'.
19:39:02–19:39:09  Colleague says '老往上了，再往上再往上'.
19:39:10–19:39:18  Colleague says '这儿视频，我自己审核那个，啊。'.
19:39:19–19:39:27  I say '哦，为什么加食品以后会损伤？会会会损伤预测性能的例子？'.
19:39:28–19:39:34  I scroll through model ablation notes.
19:39:35–19:39:43  I say '哎，我觉得你，你到时候模型微调完之后，跟你，跟你要把它加下面一列，就表示你自己微调完的这个性能是能够提升的，是吧？'.
19:39:44–19:39:48  I say '就是你微调完之后，跟跟他们做对比，每次分分的这个。'.
19:39:49–19:39:53  I say '啊，对，就是分之五layer，就是。可以。'
19:39:53–19:39:58  I ask '我现在应该是统一都用day五的一百点还是五十点做测试？'
19:39:58–19:40:03  I say '我的所有反应堆呢都是用那个day五的做测试。'
19:40:03–19:40:10  I say '就是如果你这个变成八个，这个变成八个，如果是。'
19:40:10–19:40:19  I listen to my colleague.
19:40:19–19:40:24  A colleague asks "一到七天都有的话，那你微调的时候怎么办？微调的时候都你都学过？"
19:40:24–19:40:29  I say "对啊，所以我都用day5的呀，目前。我统一了一下，用前五天的不同比例内容去，然后用day5评测。"
19:40:29–19:40:35  A colleague asks "那那你本场没有？"
19:40:35–19:40:39  I say "本场没有。"
19:40:39–19:40:45  A colleague says "本场没有就用，只要跟自己比就行了，我感觉。对吧？"
19:40:45–19:40:48  I say "感觉跟自己比会不会……同一个吗？"
19:40:49–19:40:53  My colleague says '同一个模型的性能提升，对吧？我就说你别那慢搞，就比六六天和七天的只做只做后面两天的，'.
19:40:53–19:40:56  I view the model evaluation benchmark table on my laptop.
19:40:56–19:41:01  My colleague says '然后前面的五天作为检索的那个信息，然后你反正就也有前面五天的，'.
19:41:01–19:41:05  I examine the benchmark scores for Qwen3.7-Plus and DeepSeek-V4-Pro.
19:41:05–19:41:08  My colleague says '这样子就不会存在存在数据的这个污染性污染问题。'.
19:41:08–19:41:11  I scan the Feishu navigation sidebar.
19:41:11–19:41:14  My colleague says '也行啊，让你看看，你你你你做决定。'.
19:41:14–19:41:16  I look towards the coworker across the aisle.
19:41:16–19:41:18  I look at the benchmark evaluation table on my laptop.
19:41:19–19:41:28  The colleague beside me says '给自己的模型去评估嘛，验证集你怎么学没关系，但是你的测试集可以可以跟大家统一一下。'
19:41:29–19:41:33  The colleague beside me asks '你怎么想？'
19:41:34–19:41:41  I say '我想一想，这都可以。' to the colleague beside me.
19:41:42–19:41:49  I say '我其实觉得你。' to the colleague beside me.
19:41:49–19:41:55  I say '你你这个模型评出来这个表没有任何用，特别是开源模型，只有对于某一个技术的效用效用，才会让后人读读这个论文的时候感觉有一些用。'
19:41:55–19:41:57  I look at my colleague.
19:41:57–19:42:04  I say '所以，这个开源模型的评测集，我觉得在哪评都行，只要一致就行。'
19:42:04–19:42:08  I look toward my colleague.
19:42:08–19:42:13  I say '就是你模型比它高，那对别人来说也没啥用，它就是就是比如说你就是在六七点评的，或者你在一到七点评的，'
19:42:13–19:42:19  I say '它俩可能数值会有一些差。'
19:42:19–19:42:27  The colleague says '对于别人来说也不care，也也没什么用，他就选那个最前面一两个性能比较好的模型，可能他要用的时候他会去跑一下，对吧？'
19:42:27–19:42:30  I look at the colleague.
19:42:30–19:42:36  The colleague says '后面的模型没有人会用，然后你在什么几评测上了也没有没没什么人会care，这样一直就行。'
19:42:36–19:42:48  The colleague says '所以就我想一想。'
19:42:49–19:42:58  I examine the benchmark data table.
19:42:58–19:43:08  I say '就直接弃天平吧，弃天全部随便弃天选，然后反一丢人就是反一丢。'
19:43:08–19:43:13  I look at the Feishu document sidebar.
19:43:13–19:43:18  I glance across the desk.
19:43:19–19:43:22  I look at the workstation desk.
19:43:23–19:43:26  The colleague says '在自己的测试机上，五六五六几天自己比就行。'
19:43:27–19:43:29  The colleague says '自己跟自己比，对。'
19:43:30–19:43:36  The colleague says '而且测试机做一，测试机做一千天太多了，我感觉做个几百天就行。'
19:43:37–19:43:39  I say '没问题。'
19:43:40–19:43:42  The colleague says '明天微调这个模型。'
19:43:43–19:43:45  I ask '微调啊？' and the colleague replies '对。没有呀。'
19:43:46–19:43:48  I inspect the Feishu benchmark evaluation table.
19:43:49–19:43:54  I examine model evaluation results.
19:43:54–19:43:58  The colleague says '感觉可以找老师聊聊，咱约个时间聊一下。' to me.
19:43:58–19:44:00  I say '可以呀。'
19:44:00–19:44:03  The colleague says '可以。'
19:44:03–19:44:09  I watch the colleague turn to his laptop.
19:44:09–19:44:12  I pick up my smartphone.
19:44:12–19:44:14  I open WeChat.
19:44:14–19:44:17  I browse the WeChat chat list.
19:44:17–19:44:19  I open a chat conversation.
19:44:19–19:44:21  I view WeChat messages.
19:44:21–19:44:23  I toggle iOS Control Center.
19:44:23–19:44:25  I scroll the WeChat chat list.
19:44:25–19:44:27  I browse WeChat Official Accounts.
19:44:27–19:44:31  I browse the WeChat chat list.
19:44:31–19:44:34  I view cat photos in WeChat.
19:44:34–19:44:36  I check iOS Control Center.
19:44:36–19:44:39  I find [User B]'s chat in WeChat.
19:44:39–19:44:41  I review chat history with [User B].
19:44:41–19:44:49  I type '连老师这' to [User B].
19:44:49–19:44:54  I type '连老师这几天有空'.
19:44:55–19:44:57  I pause typing.
19:44:58–19:45:12  I type '连老师这几天啥时候有空再catch-up下'.
19:45:13–19:45:16  I edit to '连老师您这几天啥时候有空再catch-up下?'.
19:45:17–19:45:18  I say '嗯。'
19:45:19–19:45:20  I view the WeChat chat list.
19:45:21–19:45:21  I say '哎呀！'.
19:45:22–19:45:24  I return to the phone home screen.
19:45:25–19:45:25  I look at the laptop document sidebar.
19:45:26–19:45:29  I observe the colleague drinking water.
19:45:30–19:45:30  I glance at my laptop toolbar.
19:45:31–19:45:34  I look towards the female colleague's chair.
19:45:35–19:45:36  I check the time on my phone.
19:45:37–19:45:39  I look at the plush mascot on the partition.
19:45:40–19:45:45  I look between the colleague and my phone.
19:45:46–19:45:48  I observe the colleague typing on his laptop.
19:45:49–19:45:53  I watch the laptop screen.
19:45:53–19:45:56  I say '说了，完了。'
19:45:56–19:46:00  I ask '做啥的？'
19:46:00–19:46:08  I say '我操，没听过这个学校。'
19:46:08–19:46:15  I read the highlighted paragraphs.
19:46:15–19:46:17  I check the time on my phone.
19:46:17–19:46:19  I look at the colleague's desk.
19:46:19–19:46:22  I view the document on the laptop.
19:46:23–19:46:23  I inspect the Feishu benchmark table.
19:46:24–19:46:29  I monitor my colleague's screen.
19:46:30–19:46:43  I point at text on the screen.
19:46:44–19:46:46  I point at the faculty profile.
19:46:47–19:46:48  I type on the laptop.
19:46:49–19:46:52  I view the search dropdown.
19:46:52–19:46:57  I read the paper abstract.
19:46:57–19:47:01  I look at the browser top-right.
19:47:01–19:47:06  I examine the paper content.
19:47:06–19:47:13  I read the research paper.
19:47:13–19:47:16  I point at the paper title.
19:47:16–19:47:19  I say '听过，听过。'
19:47:19–19:47:28  I look at the laptop screen while my colleague says '他是一朵花的，这个他是不是一朵？这个是花，还是两朵？还是University X的？'.
19:47:29–19:47:33  I listen as my colleague asks 'University X你知道吗？'.
19:47:34–19:47:39  I listen to the discussion about University X and User X.
19:47:40–19:47:48  I read the paper on the laptop screen while my colleague says '什么？User X就是University X的。他这个二十年的定死，相当于是一个定位，这个定位。'.
19:47:49–19:47:53  I read the Emotion-LLaMA paper title and abstract as a colleague asks '沂蒙山老马是不是类似要翻这个题啊？'.
19:47:54–19:47:58  I say '类似，类似，有林老师。'.
19:47:58–19:48:02  I keep pointing at the screen as a colleague asks '为什么要看南极冰龙？'.
19:48:02–19:48:05  I scroll through the paper's experimental tables and figures.
19:48:05–19:48:11  I review the Overleaf editor and paper preview.
19:48:12–19:48:17  I point at an Overleaf project entry as a colleague asks '大家在看我吗？'.
19:48:17–19:48:19  I say '哦。'.
19:48:19–19:48:20  I monitor the laptop loading screen.
19:48:21–19:48:32  I read the 'OneEmo' paper.
19:48:33–19:48:40  I point at the 'OneEmo' title.
19:48:41–19:48:43  I observe my colleague pointing at the screen.
19:48:44–19:48:45  I glance at the McDonald's artwork.
19:48:46–19:48:46  I point at the 'OneEmo' title.
19:48:47–19:48:48  I read the paper abstract.
19:48:49–19:49:04  I read the OneEmo paper.
19:49:04–19:49:08  I look at the desk edge.
19:49:08–19:49:11  I look down at the MacBook.
19:49:11–19:49:15  I check the phone lock screen.
19:49:15–19:49:17  I open WeChat on my phone.
19:49:17–19:49:19  I browse WeChat chats.
19:49:19–19:49:21  I operate my phone.
19:49:22–19:49:24  I place my phone on the desk.
19:49:25–19:49:28  I adjust the laptop position.
19:49:29–19:49:31  I switch to Chrome.
19:49:32–19:49:37  I read the ChatGPT prompt about VLM image attention heatmaps.
19:49:38–19:49:40  I say '嗯。'
19:49:41–19:49:46  I look back at the laptop.
19:49:47–19:49:48  I view folders in Finder.
19:49:49–19:50:06  I browse files in the file picker.
19:50:07–19:50:10  I utter '嗯。'.
19:50:11–19:50:18  I browse files in the file picker.
19:50:19–19:50:24  I view data folder contents.
19:50:24–19:50:27  I view the uploaded file in ChatGPT.
19:50:27–19:50:48  I type a prompt into ChatGPT.
19:50:49–19:50:57  I type "从lucia7天5个层级均匀选出共1k条测试人类行为预测的测试点" into ChatGPT.
19:50:58–19:51:05  I review the prompt and attachment in ChatGPT.
19:51:06–19:51:08  I gesture with my left hand.
19:51:09–19:51:14  I examine the text in the ChatGPT input box.
19:51:15–19:51:18  I position my hands on the laptop.
19:51:19–19:51:24  I review the ChatGPT prompt.
19:51:25–19:51:33  I type prompt criteria into ChatGPT.
19:51:34–19:51:39  I type '需要是主动动作' into ChatGPT.
19:51:40–19:51:48  I type on the keyboard.
19:51:49–19:52:01  I type '要评测有代表性，有这个人的行为风格'.
19:52:02–19:52:04  I review the ChatGPT input.
19:52:05–19:52:09  I type and delete '、不符'.
19:52:10–19:52:12  I inspect the prompt.
19:52:12–19:52:16  I type '的动作'.
19:52:17–19:52:19  I review the prompt.
19:52:19–19:52:34  I read the draft prompt in ChatGPT.
19:52:35–19:52:41  I look at my colleague's laptop.
19:52:42–19:52:44  I scan the office workspace.
19:52:45–19:52:48  I say '嗯。'
19:52:49–19:52:53  I glance at my colleague's laptop.
19:52:54–19:53:01  I review the ChatGPT conversation and prompt.
19:53:02–19:53:04  I raise my right hand.
19:53:05–19:53:11  I observe the office workspace.
19:53:12–19:53:16  I inspect my pinched right fingers.
19:53:17–19:53:19  I look across the office space.
19:53:19–19:53:24  I look around the office.
19:53:25–19:53:28  I look at ChatGPT on my laptop.
19:53:29–19:53:32  I type testing requirements into ChatGPT.
19:53:33–19:53:38  I say '先每个力度选五个，让我审核。'
19:53:39–19:53:42  I inspect the prompt text.
19:53:43–19:53:46  I look at my colleague.
19:53:47–19:53:49  I focus on the send button.
19:53:49–19:53:55  I say '我会研磨小上下文，然后预测下一个它的动作。'
19:53:55–19:54:06  I review the ChatGPT prompt text.
19:54:07–19:54:10  I look toward my colleague's desk.
19:54:11–19:54:14  I inspect the radar charts.
19:54:14–19:54:18  I say '完成雷达图了，不错。'
19:54:19–19:54:24  I examine the ablation table and radar plots.
19:54:25–19:54:29  I read the training strategies ablation text.
19:54:30–19:54:38  I review the Emotive Interaction subsection.
19:54:39–19:54:43  I say '改了非常多东西，不，这也改了，改了这么多东西。'
19:54:44–19:54:48  I review the benchmark evaluation chart and protocol text.
19:54:49–19:54:51  I say '什么？'.
19:54:51–19:54:58  I say '他这篇文章都我改了，改的还是不错，我觉得。'.
19:54:58–19:55:02  I scroll down the paper.
19:55:02–19:55:08  I say '厉害，比我有比我有厉害一些的好太多了。'.
19:55:08–19:55:18  I say '厉害还是不能替代人类的。'.
19:55:19–19:55:22  I read the academic paper on my laptop.
19:55:22–19:55:25  I rest my hand on the trackpad.
19:55:25–19:55:30  I read the model evaluation paragraph.
19:55:30–19:55:33  I say '嗯。'
19:55:33–19:55:48  I read about multimodal cue extraction and emotion perception benchmarks.
19:55:49–19:55:56  I view the research paper on my colleague's screen.
19:55:57–19:56:00  I look at my MacBook.
19:56:01–19:56:07  I read the ChatGPT next-action prediction criteria.
19:56:08–19:56:14  I read the ChatGPT analysis on Lucia's behavioral styles.
19:56:15–19:56:18  I look at my laptop trackpad.
19:56:19–19:56:21  I read the ChatGPT response.
19:56:21–19:56:37  I type '同时不同评测点场景要丰富多样' into ChatGPT.
19:56:37–19:56:46  I review the prompt '同时不同评测点场景要丰富多样'.
19:56:46–19:56:49  I submit the prompt to ChatGPT.
19:56:49–19:56:50  I glance at my MacBook screen.
19:56:51–19:56:55  I look around the office.
19:56:56–19:56:59  I pick up my phone.
19:57:00–19:57:06  I browse my WeChat chat list.
19:57:07–19:57:11  I read messages in the hku proj31(5) group chat.
19:57:12–19:57:16  I navigate on my MacBook trackpad.
19:57:17–19:57:18  I say '好困呐，想回去睡觉去了。'
19:57:19–19:57:21  I adjust my smart glasses.
19:57:22–19:57:26  I click into the EgoLife directory.
19:57:27–19:57:33  I browse the EgoLife directory files.
