18:11:34–18:11:38  I say '我没有追求美感，我只觉得他们。'
18:50:04–18:50:11  I examine a photo of raw meat and vegetable slices.
18:50:12–18:50:16  I look at an outdoor BBQ photo with a meat tower.
18:50:17–18:50:19  I return to the WeChat chat with babe.
18:50:20–18:50:22  I say '室外烧烤吗？这么好！'
18:50:23–18:50:25  I walk down the supermarket aisle.
18:50:26–18:50:28  I say '你这个肉感觉很丰盛。'
18:50:29–18:50:33  I say '好啊，欢迎。'
18:50:34–18:50:37  I type a WeChat reply to babe.
18:50:38–18:50:39  I check the sent WeChat message.
18:50:40–18:50:41  I lock my smartphone.
18:50:42–18:50:46  I inspect the bathroom accessories shelf.
18:50:47–18:50:50  I observe the toy display shelf.
18:50:51–18:50:54  I browse the character water bottle sets.
18:50:55–18:50:57  I browse the slipper wall rack.
18:50:58–18:51:01  I walk past the kitchenware shelves.
18:51:02–18:51:03  I approach the supermarket exit.
18:51:04–18:51:06  A companion asks '你早上去买菜吗？'.
18:51:06–18:51:08  I say '嗯。'.
18:51:08–18:51:12  I walk along the mall corridor.
18:51:12–18:51:15  I view the Lao Xiang Ji menu board.
18:51:16–18:51:18  I walk past a promotional window poster.
18:51:19–18:51:20  I hold a shopping bag.
18:51:21–18:51:27  I walk towards Hefu Noodles.
18:51:28–18:51:33  I approach the capsule massage chairs.
18:51:34–18:51:37  I walk down the corridor.
18:51:37–18:51:40  I glance at the glass wall reflections.
18:51:40–18:51:44  I walk down the corridor.
18:51:44–18:51:48  I look toward the construction hoarding and standee.
18:51:48–18:51:52  I look at the food stall monitor.
18:51:52–18:51:55  I look at diners along the glass wall.
18:51:55–18:51:57  I say '我操，这么大！'
18:51:57–18:52:00  I say '你没？不是？不是？不是？不是？怎么能这样？'
18:52:00–18:52:04  I inspect the 谷田稻香 counter.
18:52:04–18:52:09  I walk past 蜀山有牛 restaurant.
18:52:09–18:52:13  I walk down the mall corridor.
18:52:13–18:52:18  I approach the glass exit.
18:52:18–18:52:21  I say '我操！那是周三吧？'
18:52:21–18:52:27  I observe the heavy rain outside.
18:52:27–18:52:31  I say '这次是。Yeah, it's gonna be stopped. It's gonna stop.'
18:52:31–18:52:34  I look at the revolving door threshold.
18:52:34–18:52:37  I enter a revolving door.
18:52:37–18:52:43  I look out at the outdoor plaza.
18:52:43–18:52:50  I observe the outdoor escalator and storefronts.
18:52:50–18:52:57  I watch a person outside in the rain.
18:52:57–18:53:00  I look up at the digital screen.
18:53:00–18:53:03  I face the Yang's Dumpling entrance.
18:53:04–18:53:07  I look at Yang's Dumpling promotional posters.
18:53:07–18:53:10  I say '这小杨饭店旁边，我忘了。'
18:53:11–18:53:16  I observe promotional standees outside Chengdu Ni Liujie.
18:53:17–18:53:20  I observe diners inside Chengdu Ni Liujie.
18:53:21–18:53:28  I walk into the mall concourse past a directory pillar.
18:53:29–18:53:33  I approach an illuminated Zhuanzhuan service kiosk.
18:53:34–18:53:36  I observe the Zhuanzhuan recycling booth.
18:53:37–18:53:40  I say '哎，然后看到，刚才那个下班，估计已经。'.
18:53:41–18:53:48  I look at the China Sports Lottery booth.
18:53:49–18:53:53  I look at the Luckin Coffee storefront.
18:53:54–18:53:58  I look at the parking garage entrance sign.
18:53:59–18:54:03  I walk down the elevator corridor.
18:54:04–18:54:09  I follow a delivery courier.
18:54:10–18:54:13  I enter the elevator lobby.
18:54:14–18:54:19  I scan the elevator lobby corner.
18:54:20–18:54:23  I read the parking promotion poster.
18:54:24–18:54:27  I say '小妹妹，三百多桌，三百多桌都停止线上叫号了。'
18:54:28–18:54:34  I walk down the corridor ramp.
18:54:34–18:54:39  I walk along the hallway.
18:54:39–18:54:43  I say '怎么买这玩意儿这么难？'.
18:54:43–18:54:47  I say '这么痛！'.
18:54:47–18:54:53  I say '还有那个气垫的，气垫那个。'.
18:54:53–18:54:58  I observe the dining area.
18:54:58–18:55:04  I walk towards Chengdu Ni Liu Jie.
18:55:04–18:55:07  I say '膝盖那儿真的软了，我操！'.
18:55:07–18:55:11  I say '嗯，膝盖儿好痛，我。'.
18:55:12–18:55:16  I walk down the mall corridor.
18:55:17–18:55:19  I view WeChat chat with babe.
18:55:20–18:55:20  I view the WeChat chat list.
18:55:21–18:55:23  I swipe through iPhone home screen pages.
18:55:24–18:55:25  I launch the Taobao app.
18:55:26–18:55:26  I tap '我的淘宝' on Taobao.
18:55:27–18:55:29  I tap '全部' orders on Taobao.
18:55:30–18:55:33  I browse my Taobao order list.
18:55:34–18:55:50  I browse my Taobao order history.
18:55:51–18:55:52  I open the GECLL nose pads order details.
18:55:53–18:56:02  I view the GECLL eyeglass nose pad product page.
18:56:03–18:56:04  I look up at people near the restaurant sign.
18:56:04–18:56:05  I browse eyeglass nose pads on Taobao.
18:56:06–18:56:07  I examine the SKU options on Taobao.
18:56:08–18:56:08  I view the selected nose pad image on Taobao.
18:56:09–18:56:14  I review the completed order on Taobao.
18:56:15–18:56:19  I observe pedestrians in the mall corridor.
18:56:20–18:56:27  I check the price breakdown on Taobao.
18:56:28–18:56:31  I tap the back button on Taobao.
18:56:32–18:56:34  I browse product features on Taobao.
18:56:34–18:56:42  I browse eyeglass nose pad options on Taobao.
18:56:42–18:56:46  I tap '立即支付¥12.79'.
18:56:46–18:56:48  I view the Alipay payment authentication sheet.
18:56:48–18:56:50  I say '哎，太难了！哦，shit。'.
18:56:50–18:56:53  I walk down the mall corridor.
18:56:53–18:56:57  I read the '成都你六姐' promotional boards.
18:56:57–18:57:01  I inspect the 'SUP-COOL SECOND MASTER' claw machine.
18:57:01–18:57:04  I observe the 'CUTEROBOT 萌机小甲' model car vending machine.
18:57:04–18:57:05  I view toy cars in a display case.
18:57:05–18:57:08  I walk down the mall corridor.
18:57:08–18:57:13  I approach the glass entrance vestibule.
18:57:13–18:57:16  I enter the glass vestibule.
18:57:16–18:57:22  I say '还是有一块，就是白、黄、蓝、绿，那是 for sure。'
18:57:22–18:57:26  I step across the door threshold.
18:57:26–18:57:30  I look toward Yang's Dumpling storefront.
18:57:30–18:57:34  I walk past the Zhang Lala advertising column.
18:57:34–18:57:36  I say '我呀，咱们来。'
18:57:36–18:57:38  I glance at the illuminated menu board.
18:57:38–18:57:42  I observe the 谷田稻香 dining room.
18:57:42–18:57:45  I walk past the 免费自助区 counter.
18:57:45–18:57:49  I say '我从这直接可以过，嗯。'
18:57:49–18:57:55  I walk past a red construction wall.
18:57:55–18:57:58  I pass a promotional noodle soup standee.
18:57:58–18:58:04  I approach the HEFU 和府捞面 restaurant.
18:58:04–18:58:08  I say "哦，我只要把注意力换成之前的就可以了。"
18:58:08–18:58:13  I walk past the Sunshine Paradise display.
18:58:14–18:58:17  I say "我操，然后做梯度下降。"
18:58:17–18:58:22  I walk toward Lao Xiang Ji.
18:58:22–18:58:24  I say "没事。"
18:58:24–18:58:28  I view the Lao Xiang Ji menu board.
18:58:29–18:58:34  I walk toward Yonghui Supermarket.
18:58:34–18:58:40  I walk along the hallway.
18:58:41–18:58:45  I say '哦，去看一下公交车站吗？交通站。'
18:58:46–18:58:50  I approach the Zhanglala stall.
18:58:51–18:58:56  I inspect the Zhanglala menu board.
18:58:57–18:59:03  I read the noodle menu options.
18:59:04–18:59:06  I examine the Zhang Lala menu.
18:59:06–18:59:07  I say 'Unfortunately, that I'm not hungry.'
18:59:07–18:59:08  I say '三十。'
18:59:08–18:59:10  I observe the public seating area.
18:59:11–18:59:15  I walk down the corridor.
18:59:16–18:59:17  I glance at the recycling bin.
18:59:18–18:59:21  I walk past the 读酥世家 hoarding.
18:59:22–18:59:26  I walk past the 阳光天地 hoarding.
18:59:27–18:59:30  I look at the 阳光天地 hoarding wall.
18:59:31–18:59:33  I approach the resting area.
18:59:34–18:59:37  I say '呜呜呜呜呜呜呜呜呜呜，so hurt, bro.'
18:59:37–18:59:41  I walk toward the glass doors.
18:59:41–18:59:45  I enter the bright lobby.
18:59:45–18:59:49  I approach the floor directory board.
18:59:49–18:59:54  I read the L3 directory listings.
18:59:54–18:59:59  I inspect the 沪小二 dining logo.
18:59:59–19:00:04  I scan the L2 directory listings.
19:00:04–19:00:07  I examine the L2 mall directory.
19:00:07–19:00:11  I inspect the L1 and L3 directory listings.
19:00:11–19:00:16  I scan the lower directory brands and flyer rack.
19:00:16–19:00:18  I walk toward the glass doors.
19:00:18–19:00:22  I say 'Fortunately, none of this is my attention. Nobody sees, nobody cares.'
19:00:22–19:00:25  I enter the mall concourse.
19:00:25–19:00:30  I read the Wanyoo Esports promotional hoarding.
19:00:30–19:00:34  I walk down the shopping mall concourse.
19:00:34–19:00:39  I walk along the shopping mall corridor.
19:00:39–19:00:45  I walk past Zhang Lala Beef Noodles.
19:00:45–19:00:51  I walk past the dining seating area.
19:00:51–19:00:58  I look at the Sukiya menu stands.
19:00:58–19:01:04  I walk past Yonghui Supermarket.
19:01:04–19:01:08  I walk along the shopping mall corridor.
19:01:08–19:01:14  I walk past the Lao Xiang Ji entrance.
19:01:15–19:01:20  I inspect a small plastic zip-lock bag.
19:01:21–19:01:25  I look towards the Guoqianer restaurant entrance.
19:01:26–19:01:33  I read the Guoqianer digital menu screen.
19:01:34–19:01:39  I scan the Guo qian er electronic menu board.
19:01:39–19:01:40  I say '嗯。'.
19:01:40–19:01:45  I examine the specialty pot dishes on the electronic menu.
19:01:45–19:01:51  I examine the fresh meats and hot pot ingredients on the electronic menu.
19:01:51–19:01:57  I read the soup base and vegetable buffet options on the electronic menu.
19:01:57–19:02:04  I examine the promotional poster stand for dessert and sour cabbage fish.
19:02:04–19:02:06  I view the Guo qian er menu stand.
19:02:06–19:02:09  I view the HEFU 和府捞面 entrance.
19:02:10–19:02:12  I walk past massage chairs.
19:02:13–19:02:18  I view the red construction hoarding.
19:02:19–19:02:24  I examine a small zip-lock pouch.
19:02:25–19:02:28  I walk holding the pouch.
19:02:29–19:02:32  I view the 谷田稻香 counter.
19:02:32–19:02:34  I observe diners at corridor tables.
19:02:34–19:02:38  I walk past dining tables.
19:02:38–19:02:41  I say '现在你有 some money， that's fine. Anyway.'
19:02:41–19:02:44  I walk toward 蜀山有牛.
19:02:44–19:02:49  I walk toward 小杨生煎.
19:02:49–19:02:53  I look at 小杨生煎 posters.
19:02:53–19:02:57  I say '极其方便，用VR把门一挑。'
19:02:57–19:03:00  I walk past 成都你六姐.
19:03:00–19:03:04  I look at 成都你六姐 discount signs.
19:03:04–19:03:09  I walk down the mall corridor past the 六姐 storefront.
19:03:10–19:03:16  I walk past the B1 directory pillar and seating area.
19:03:17–19:03:22  I walk past the 转转 recycling kiosk.
19:03:23–19:03:27  I look at the 好特卖 HotMaxx storefront.
19:03:28–19:03:33  I look at the Messi Lay's cutout at HotMaxx.
19:03:34–19:03:36  I walk past HotMax.
19:03:36–19:03:37  I say '哎，对，'.
19:03:37–19:03:39  I look at the 爱回收 kiosk.
19:03:39–19:03:42  I look toward 九木杂物社.
19:03:43–19:03:46  I look toward 张千四 贵州羊肉粉.
19:03:47–19:03:52  I look at the 琦王花生 chestnut poster and showcase.
19:03:53–19:03:56  I look toward 澳酥世家.
19:03:57–19:03:59  I watch the overhead food video.
19:04:00–19:04:01  I walk past 澳酥世家.
19:04:02–19:04:04  I approach the Lenle store.
19:04:04–19:04:08  I walk along the mall hallway.
19:04:09–19:04:11  I check the DUSU bakery counter.
19:04:12–19:04:16  I read the Redmi Note 17 Pro promotional poster.
19:04:17–19:04:19  I walk inside the Xiaomi store.
19:04:20–19:04:23  I gaze at the TV demo wall.
19:04:24–19:04:26  I walk up to the smart accessories table.
19:04:27–19:04:33  I examine the Xiaomi AI smart glasses display.
19:04:34–19:04:38  I look at the Xiaomi AI Glasses display.
19:04:39–19:04:43  I look at the laptop display tables.
19:04:44–19:04:48  I look at a Xiaomi Book Pro 14 laptop.
19:04:49–19:04:52  I touch the laptop trackpad.
19:04:53–19:04:57  I examine the Xiaomi Book Pro price tiers and colors.
19:04:58–19:05:04  I read the hardware specs while hearing '真是没得说。'
19:05:04–19:05:06  I view the laptop product showcase.
19:05:07–19:05:11  I view the desktop wallpaper.
19:05:12–19:05:15  I view the Windows Widgets board.
19:05:16–19:05:20  I look at the taskbar.
19:05:21–19:05:22  I view the Quick Settings panel.
19:05:23–19:05:28  I view the Power & battery settings.
19:05:29–19:05:33  I view the System settings overview.
19:05:34–19:05:39  I view the Windows Settings.
19:05:40–19:05:46  I view the desktop wallpaper.
19:05:47–19:05:56  I view the Super XiaoAI dialog.
19:05:57–19:05:57  I observe the login dialog.
19:05:58–19:06:03  I view the product specs while someone says '你兑换了吗？今天中午应该兑换。'
19:06:04–19:06:07  I examine the Xiaomi Book Pro 14.
19:06:07–19:06:10  I inspect the Xiaomi Book Pro 14 ports.
19:06:10–19:06:12  I lower the Xiaomi Book Pro 14.
19:06:12–19:06:14  I view the '四款配色' card on the laptop screen.
19:06:14–19:06:18  I read the '至高第三代英特尔® 酷睿™ Ultra X7 358H' processor details.
19:06:18–19:06:22  I view the cooling and battery specifications on the screen.
19:06:22–19:06:26  I inspect the '3.1K OLED 专业原色触控屏' and interface configuration cards.
19:06:26–19:06:31  I check the configuration prices on the screen.
19:06:31–19:06:32  I say '嗯。'.
19:06:32–19:06:34  I read the '19.8 小时长续航' pop-up modal details.
19:06:34–19:06:37  I examine the Xiaomi Book Pro 14 specifications.
19:06:37–19:06:40  I glance across the laptop counter.
19:06:40–19:06:42  I read the REDMI Book 14 spec card.
19:06:42–19:06:45  I walk to the smartphone table.
19:06:45–19:06:48  I examine the smartphone display counter.
19:06:48–19:06:51  I pick up the Xiaomi MIX Fold 4.
19:06:51–19:06:54  I tap the Douyin icon.
19:06:54–19:06:55  I say '哦。'
19:06:55–19:07:02  I watch a baseball Douyin video by @User X.
19:07:02–19:07:04  I swipe to the next Douyin video.
19:07:04–19:07:05  I watch a food-slicing video.
19:07:06–19:07:13  I watch a bathroom floor video.
19:07:14–19:07:14  I watch a watermelon-cutting clip.
19:07:15–19:07:20  I watch a parkour POV video by @红牛极限运动.
19:07:21–19:07:33  I watch a small animal video with danmaku.
19:07:34–19:07:36  I watch Douyin videos.
19:07:37–19:07:39  I browse the home screen.
19:07:40–19:07:46  I open the Control Center brightness panel.
19:07:47–19:07:48  I view the home screen.
19:07:49–19:07:49  I view WLAN settings.
19:07:50–19:07:59  I inspect the rear Leica camera module.
19:08:00–19:08:01  I inspect the cover screen.
19:08:02–19:08:03  I touch the cover screen top bezel.
19:08:04–19:08:08  The companion says '十七T，对，最近新出来的手机。'
19:08:08–19:08:15  I inspect the phone's hinge and camera module.
19:08:15–19:08:18  I view the cover screen home screen.
19:08:18–19:08:22  I browse the Gallery app categories.
19:08:22–19:08:24  I tap Settings.
19:08:24–19:08:28  I view the WLAN network list in Settings.
19:08:28–19:08:31  I unfold the phone into tablet mode.
19:08:31–19:08:33  I view the inner screen desktop layout.
19:08:34–19:08:43  I inspect the foldable smartphone screen.
19:08:44–19:08:48  I say '哦，这边有两分钟。'
19:08:49–19:08:57  I scan the app icons on the foldable phone.
19:08:58–19:09:00  I say '哦，好了。'
19:09:01–19:09:04  I look at the weather widget.
19:09:04–19:09:05  I hold a Xiaomi MIX Fold 4.
19:09:05–19:09:06  I say '哎呀，我这手机没电了。'
19:09:06–19:09:14  I view the Xiaomi MIX Fold 4 device specifications.
19:09:15–19:09:17  I view the WLAN network list.
19:09:18–19:09:19  I view the folding screen features menu.
19:09:20–19:09:20  I tap WLAN.
19:09:21–19:09:21  I view the mobile network settings.
19:09:22–19:09:24  I view the satellite communication settings.
19:09:25–19:09:25  I view the multi-device interconnect settings.
19:09:26–19:09:26  I view the more connection settings menu.
19:09:27–19:09:30  I view the Xiaomi HyperOS AI features menu.
19:09:31–19:09:32  I view the system personalization settings.
